donor1	donor2	donor4	donor8	donor5	donor6	donor3	donor7	CellType	Region
96	129	258	41	419	1680	35	1269	MSN.D1_A	nac
4	2	0	7	1	64	0	161	MSN.D1_B	nac
8	22	2	2	21	4	0	224	MSN.D1_C	nac
27	26	111	1	108	173	5	267	MSN.D1_D	nac
15	6	30	51	15	255	6	260	MSN.D1_E	nac
2	0	2	9	2	10	0	61	MSN.D1_F	nac
95	101	252	57	488	1819	29	1421	MSN.D2_A	nac
9	7	36	7	58	29	5	134	MSN.D2_B	nac
9	3	18	5	15	131	3	130	MSN.D2_C	nac
3	0	0	0	2	0	0	53	MSN.D2_D	nac
237	50	247	0	385	0	69	0	Oligo_A	nac
1202	804	2186	10	523	0	421	0	Oligo_B	nac
98	104	209	6	200	0	34	0	OPC	nac
0	0	14	0	1	0	3	0	OPC_COP	nac
87	390	224	38	8	0	0	0	Astro_A	sacc
85	19	28	5	23	0	0	0	Astro_B	sacc
8	13	7	0	0	0	0	0	drop.doublet	sacc
6	4	13	22	253	0	0	0	drop.lowNTx	sacc
79	189	175	367	46	0	0	0	Excit_A	sacc
110	165	108	133	59	0	0	0	Excit_B	sacc
113	257	474	771	120	0	0	0	Excit_C	sacc
65	85	61	80	20	0	0	0	Excit_D	sacc
28	107	57	210	26	0	0	0	Excit_E	sacc
60	24	84	19	41	0	0	0	Excit_F	sacc
2	0	4	20	4	0	0	0	Excit_G	sacc
34	108	168	476	56	0	0	0	Inhib_A	sacc
87	212	180	407	26	0	0	0	Inhib_B	sacc
34	117	80	205	29	0	0	0	Inhib_C	sacc
17	44	65	223	35	0	0	0	Inhib_D	sacc
11	19	61	213	26	0	0	0	Inhib_E	sacc
30	70	111	286	24	0	0	0	Inhib_F	sacc
4	26	41	124	11	0	0	0	Inhib_G	sacc
14	40	29	108	17	0	0	0	Inhib_H	sacc
2	15	4	17	1	0	0	0	Inhib_I	sacc
0	6	6	28	2	0	0	0	Inhib_J	sacc
0	0	7	14	4	0	0	0	Inhib_K	sacc
232	243	292	14	3	0	0	0	Micro	sacc
1	0	9	0	10	0	0	0	Neu_FAT2.CDH15	sacc
1833	1408	1132	12	4	0	0	0	Oligo_A	sacc
3	5	184	0	3	0	0	0	Oligo_B	sacc
229	314	355	13	0	0	0	0	OPC	sacc
