"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"Ast0"	0.00131	0.00608	0.216	0.83
"Ast1"	-0.00209	0.0092	-0.227	0.822
"Ast2"	-2.04e-05	0.00158	-0.0129	0.99
"Ast3"	0.000146	0.00185	0.0792	0.937
"End1"	-0.000193	0.000358	-0.539	0.593
"End2"	-0.00038	0.000574	-0.662	0.511
"Ex0"	0.0087	0.0186	0.468	0.642
"Ex1"	-0.0136	0.00703	-1.94	0.0591
"Ex11"	-0.000993	0.00135	-0.733	0.467
"Ex12"	-0.000621	0.00179	-0.346	0.731
"Ex14"	-0.00128	0.0011	-1.16	0.253
"Ex2"	-0.00919	0.0219	-0.42	0.676
"Ex3"	-0.00824	0.00594	-1.39	0.172
"Ex4"	-0.0315	0.0172	-1.83	0.0737
"Ex5"	-0.00759	0.00555	-1.37	0.178
"Ex6"	0.0118	0.0198	0.597	0.554
"Ex7"	-0.00412	0.00454	-0.907	0.369
"Ex8"	0.0168	0.0118	1.43	0.161
"Ex9"	0.000593	0.00238	0.249	0.804
"In0"	0.00404	0.00449	0.9	0.373
"In1"	0.00611	0.00321	1.9	0.0632
"In10"	-0.00104	0.000608	-1.7	0.0954
"In11"	-0.000247	0.000395	-0.625	0.535
"In2"	0.00263	0.00192	1.37	0.178
"In3"	0.00339	0.00288	1.18	0.245
"In4"	0.00313	0.00269	1.16	0.251
"In5"	0.00208	0.00152	1.37	0.177
"In6"	-0.00037	0.00104	-0.357	0.723
"In7"	-0.00146	0.00135	-1.08	0.286
"In8"	0.000384	0.00116	0.332	0.741
"In9"	7.84e-05	0.000757	0.104	0.918
"Mic0"	0.00146	0.0036	0.406	0.686
"Mic1"	-0.000769	0.00433	-0.178	0.86
"Mic2"	0.000352	0.00109	0.323	0.748
"Mic3"	0.000648	0.000699	0.927	0.359
"Oli0"	-0.0127	0.0158	-0.808	0.423
"Oli1"	0.0346	0.0231	1.5	0.14
"Oli3"	-0.0102	0.00639	-1.6	0.116
"Oli4"	0.00171	0.00309	0.553	0.583
"Oli5"	0.000255	0.0019	0.134	0.894
"Opc0"	0.000149	0.00404	0.0368	0.971
"Opc1"	0.0056	0.00315	1.78	0.0821
"Opc2"	0.000305	0.000775	0.394	0.696
"Per"	0.000311	0.000997	0.312	0.756
