"Region","CellType","GWAS","Beta","P","P.adj.fdr"
"dlpfc","Astro","SCZ.PGC2",0.11662,0.003618,0.0168927709090909
"dlpfc","Excit_A","SCZ.PGC2",0.13825,2.2142e-11,1.57946266666667e-09
"dlpfc","Excit_B","SCZ.PGC2",0.14336,3.4357e-11,1.91801686956522e-09
"dlpfc","Excit_C","SCZ.PGC2",0.1445,1.2716e-12,1.484304e-10
"dlpfc","Excit_D","SCZ.PGC2",0.1793,7.0483e-11,3.62000688e-09
"dlpfc","Excit_E","SCZ.PGC2",0.15862,2.7964e-11,1.70979885714286e-09
"dlpfc","Excit_F","SCZ.PGC2",0.14873,5.1346e-10,2.12671819354839e-08
"dlpfc","Inhib_A","SCZ.PGC2",0.18842,1.0022e-11,8.042655e-10
"dlpfc","Inhib_B","SCZ.PGC2",0.20057,4.0248e-12,4.306536e-10
"dlpfc","Inhib_C","SCZ.PGC2",0.16933,4.2478e-11,2.272573e-09
"dlpfc","Inhib_D","SCZ.PGC2",0.12639,2.8626e-08,7.06842e-07
"dlpfc","Inhib_E","SCZ.PGC2",0.07572,0.23801,0.341076830357143
"dlpfc","Inhib_F","SCZ.PGC2",0.24555,0.023482,0.0682146787330317
"dlpfc","Macrophage","SCZ.PGC2",-0.15393,0.97357,0.97737598123534
"dlpfc","Micro","SCZ.PGC2",0.05486,0.12399,0.214559514824798
"dlpfc","Mural","SCZ.PGC2",0.034207,0.34061,0.435167402985075
"dlpfc","OPC","SCZ.PGC2",0.20255,6.9074e-08,1.55598273684211e-06
"dlpfc","Oligo","SCZ.PGC2",0.24113,2.8248e-10,1.29537257142857e-08
"dlpfc","Tcell","SCZ.PGC2",0.11532,0.13416,0.225768597640891
"sacc","Astro_A","SCZ.PGC2",0.16774,3.9523e-06,6.3434415e-05
"sacc","Astro_B","SCZ.PGC2",0.070244,0.13218,0.224022427440633
"sacc","Excit_A.1","SCZ.PGC2",0.13611,1.2786e-10,6.08045333333333e-09
"sacc","Excit_B.1","SCZ.PGC2",0.13544,3.79e-10,1.67805517241379e-08
"sacc","Excit_C.1","SCZ.PGC2",0.15436,2.154e-15,2.765736e-12
"sacc","Excit_D.1","SCZ.PGC2",0.14667,4.0491e-10,1.7330148e-08
"sacc","Excit_E.1","SCZ.PGC2",0.1803,1.0029e-13,3.770466e-11
"sacc","Excit_F.1","SCZ.PGC2",0.1639,2.9909e-11,1.745598e-09
"sacc","Excit_G","SCZ.PGC2",0.070886,0.15198,0.245771183879093
"sacc","Inhib_A.1","SCZ.PGC2",0.19199,2.5113e-11,1.6351098e-09
"sacc","Inhib_B.1","SCZ.PGC2",0.13024,7.0835e-09,2.21834487804878e-07
"sacc","Inhib_C.1","SCZ.PGC2",0.15393,4.2161e-07,8.32841907692308e-06
"sacc","Inhib_D.1","SCZ.PGC2",0.20559,2.5469e-11,1.6351098e-09
"sacc","Inhib_E.1","SCZ.PGC2",0.19153,9.2734e-07,1.67704867605634e-05
"sacc","Inhib_F.1","SCZ.PGC2",0.20658,3.2795e-09,1.13807513513514e-07
"sacc","Inhib_G","SCZ.PGC2",0.23418,3.2514e-09,1.13807513513514e-07
"sacc","Inhib_H","SCZ.PGC2",0.2103,5.8485e-10,2.346710625e-08
"sacc","Inhib_I","SCZ.PGC2",0.042267,0.27866,0.382264358974359
"sacc","Inhib_J","SCZ.PGC2",0.25545,0.00017278,0.00149898324324324
"sacc","Inhib_K","SCZ.PGC2",0.10015,0.10807,0.196692067988669
"sacc","Micro.1","SCZ.PGC2",0.065938,0.067726,0.143973814569536
"sacc","Neu_FAT2.CDH15","SCZ.PGC2",0.088521,0.12783,0.220018391420912
"sacc","OPC.1","SCZ.PGC2",0.20613,8.9072e-09,2.72305828571429e-07
"sacc","Oligo_A","SCZ.PGC2",0.23094,1.3334e-08,3.80463466666667e-07
"sacc","Oligo_B","SCZ.PGC2",0.23125,0.014234,0.0477192062663185
"hpc","Astro_A.1","SCZ.PGC2",0.15694,7.6325e-06,0.000110113820224719
"hpc","Astro_B.1","SCZ.PGC2",0.087244,0.027238,0.0758646247288503
"hpc","Excit_A.2","SCZ.PGC2",0.14364,2.2634e-08,5.8124112e-07
"hpc","Excit_B.2","SCZ.PGC2",0.14109,8.623e-11,4.25843538461538e-09
"hpc","Excit_C.2","SCZ.PGC2",0.14433,0.014628,0.048742103626943
"hpc","Excit_D.2","SCZ.PGC2",0.17728,0.00010852,0.00102455647058824
"hpc","Excit_E.2","SCZ.PGC2",0.24608,3.7819e-05,0.000418617206896552
"hpc","Excit_F.2","SCZ.PGC2",0.16529,1.1804e-07,2.61316137931034e-06
"hpc","Excit_G.1","SCZ.PGC2",0.13619,0.046391,0.108105343012704
"hpc","Excit_H","SCZ.PGC2",0.34191,4.4759e-13,8.21007942857143e-11
"hpc","Inhib_A.2","SCZ.PGC2",0.15178,1.6957e-11,1.28075223529412e-09
"hpc","Inhib_B.2","SCZ.PGC2",0.20854,1.2825e-09,4.84332352941177e-08
"hpc","Inhib_C.2","SCZ.PGC2",0.049123,0.27687,0.381848635875403
"hpc","Inhib_D.2","SCZ.PGC2",0.20881,4.5419e-08,1.0603272e-06
"hpc","Micro.2","SCZ.PGC2",0.076454,0.028711,0.0787712051282051
"hpc","Mural.1","SCZ.PGC2",0.068695,0.17716,0.273077358943577
"hpc","OPC.2","SCZ.PGC2",0.24907,5.5178e-12,5.44988861538462e-10
"hpc","OPC_COP","SCZ.PGC2",0.069402,0.194,0.291956070175439
"hpc","Oligo.1","SCZ.PGC2",0.21552,5.4202e-09,1.78449661538462e-07
"hpc","Tcell.1","SCZ.PGC2",0.086743,0.10617,0.194337606837607
"nac","Astro_A.2","SCZ.PGC2",0.088651,0.031455,0.0826302576687116
"nac","Astro_B.2","SCZ.PGC2",0.12027,3.9363e-05,0.000425144268907563
"nac","Inhib_A.3","SCZ.PGC2",0.101,0.00011456,0.00106590608695652
"nac","Inhib_B.3","SCZ.PGC2",0.25446,3.1445e-06,5.17633076923077e-05
"nac","Inhib_C.3","SCZ.PGC2",0.1293,4.514e-05,0.000467417419354839
"nac","Inhib_D.3","SCZ.PGC2",0.12151,2.4485e-05,0.000308222941176471
"nac","Inhib_E.2","SCZ.PGC2",0.19153,8.4223e-05,0.000813100240601504
"nac","MSN.D1_A","SCZ.PGC2",0.12561,2.7932e-09,1.02470537142857e-07
"nac","MSN.D1_B","SCZ.PGC2",0.21885,1.5469e-05,0.000206897875
"nac","MSN.D1_C","SCZ.PGC2",0.2051,3.3654e-07,6.85900571428571e-06
"nac","MSN.D1_D","SCZ.PGC2",0.13892,9.762e-09,2.91497860465116e-07
"nac","MSN.D1_E","SCZ.PGC2",0.16778,1.5121e-06,2.62369783783784e-05
"nac","MSN.D1_F","SCZ.PGC2",0.23527,4.01e-05,0.00042907
"nac","MSN.D2_A","SCZ.PGC2",0.13307,8.5179e-10,3.31423745454545e-08
"nac","MSN.D2_B","SCZ.PGC2",0.18381,3.8863e-08,9.24075777777778e-07
"nac","MSN.D2_C","SCZ.PGC2",0.19412,1.3568e-07,2.95276474576271e-06
"nac","MSN.D2_D","SCZ.PGC2",0.13169,0.028995,0.0792118723404255
"nac","Macrophage.1","SCZ.PGC2",-0.035064,0.73687,0.795745231286796
"nac","Micro.3","SCZ.PGC2",0.070987,0.03018,0.0814472432432432
"nac","Micro_resting","SCZ.PGC2",-0.2014,0.91899,0.935751911181602
"nac","OPC.3","SCZ.PGC2",0.22329,6.4084e-12,5.87741828571429e-10
"nac","OPC_COP.1","SCZ.PGC2",0.14396,0.023973,0.0691636510067114
"nac","Oligo_A.1","SCZ.PGC2",0.21488,9.5375e-12,8.042655e-10
"nac","Oligo_B.1","SCZ.PGC2",0.24562,1.5144e-08,4.22715130434783e-07
"amy","Astro_A.3","SCZ.PGC2",0.13993,8.3308e-06,0.000117546672527473
"amy","Astro_B.3","SCZ.PGC2",0.40607,0.004906,0.0214693505084746
"amy","Endo","SCZ.PGC2",-0.064274,0.85379,0.893452616136919
"amy","Excit_A.3","SCZ.PGC2",0.1446,1.0435e-12,1.339854e-10
"amy","Excit_B.3","SCZ.PGC2",0.24528,1.8315e-08,5.00350212765957e-07
"amy","Excit_C.3","SCZ.PGC2",0.18371,2.0942e-08,5.601985e-07
"amy","Inhib_A.4","SCZ.PGC2",0.15633,1.1746e-13,3.770466e-11
"amy","Inhib_B.4","SCZ.PGC2",0.16963,8.7845e-13,1.27914933333333e-10
"amy","Inhib_C.4","SCZ.PGC2",0.20357,1.8805e-13,4.829124e-11
"amy","Inhib_D.4","SCZ.PGC2",0.17613,2.3242e-13,4.973788e-11
"amy","Inhib_E.3","SCZ.PGC2",0.16303,4.0454e-07,8.11608375e-06
"amy","Inhib_F.2","SCZ.PGC2",0.20582,8.966e-13,1.27914933333333e-10
"amy","Inhib_G.1","SCZ.PGC2",0.27639,1.9888e-05,0.000257941333333333
"amy","Inhib_H.1","SCZ.PGC2",0.25004,7.6102e-07,1.41615895652174e-05
