names,RVolume,X,Y,Z,BB1,BB2,BB3,BB4,BB5,BB6,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,16852,73.0643247092333,378.215345359601,8.27765250415381,42.5,347.5,4.5,58,62,8,10,0,3411.2,NaN,4,0,3.25,NaN,3396.2,NaN,59,8,1660.54237288136,1610.75,20,6,5.55,1.33333333333333,1733.71938492063,1652.58333333333,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,207,92,697.497584541063,630.836956521739,71,57,4.98591549295775,1.73684210526316,683.853427320268,629.326336675021
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,16889,422.129966250222,190.895908579549,8.92829652436497,388.5,169.5,4.5,68,49,9,17,0,3589.88235294118,NaN,12,0,1.5,NaN,3558.3125,NaN,57,8,1791.70175438596,1613.5,26,8,2.69230769230769,1,1657.22479187479,1613.5,322,322,4043.67701863354,4043.67701863354,9,9,54.5555555555556,50.2222222222222,3849.45426993485,3854.01326144422,319,225,718.639498432602,678.084444444444,131,111,3.61832061068702,2.51351351351351,688.636546326833,656.764513738043
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,24367,198.678335453687,505.213362334305,8.43054130586449,156.5,459.5,5.5,81,92,6,1593,1494,3873.18330194601,3886.62851405622,64,57,56.171875,55.4035087719298,3613.82677204196,3585.34308736709,124,50,1587.48387096774,1472.34,63,37,4.01587301587302,1.43243243243243,1595.55307207783,1461.90540540541,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,221,129,659.090497737557,611.705426356589,121,85,3.2396694214876,1.67058823529412,659.162123915319,615.945868347339
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,28171,337.46938340847,671.616591530297,8.39742998118633,296.5,622.5,4.5,79,95,7,6662,6391,4853.13839687781,4864.89469566578,67,66,226.791044776119,214.045454545455,4134.74543866356,4054.18575819226,159,111,1624.11949685535,1534.96396396396,87,80,2.94252873563218,1.6875,1557.34517011611,1520.40021978022,1,1,2888,2888,1,1,1,1,2888,2888,153,111,697.37908496732,676.036036036036,71,62,3.59154929577465,2.30645161290323,668.303170235991,638.656586021505
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,59298,367.759047522682,261.212266855543,8.30174710782826,294.5,212.5,3.5,141,110,10,95,3,3523.37894736842,3477.66666666667,46,2,5.54347826086957,1.5,3442.05169828506,3429.25,561,137,1710.06417112299,1524.96350364963,252,102,3.48809523809524,1.43137254901961,1649.01279726537,1501.70114379085,3712,3055,4811.46605603448,4699.33093289689,98,76,58.2244897959184,61.5394736842105,3809.1247284927,3895.70125019074,2721,1765,769.820286659316,730.532577903683,906,753,4.5242825607064,3.0464807436919,736.003828322817,698.199864514142
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,23662,352.569182655735,757.578649311132,8.47007860704928,308.5,718.5,5.5,85,81,6,698,645,4713.41833810888,4796.74728682171,24,17,150.833333333333,188.588235294118,3956.96496919097,4165.79736857545,62,16,1719.75806451613,1605.5625,28,14,3.5,1.21428571428571,1690.41666666667,1578.5,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,97,42,677.618556701031,623.357142857143,44,28,3.11363636363636,1.82142857142857,671.618790584416,616.998214285714
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,21303,421.867671220016,138.395202553631,8.56405201145379,375.5,95.5,4.5,88,75,8,51,0,3438.05882352941,NaN,17,0,3.17647058823529,NaN,3363.70448179272,NaN,188,56,1708.66489361702,1503.10714285714,71,38,2.83098591549296,1.47368421052632,1618.46598260503,1491.41535087719,1544,1459,4650.57448186528,4705.73269362577,39,36,72.6923076923077,74.3055555555556,3871.7718898641,3916.37382252096,1134,839,757.757495590829,721.207389749702,371,345,4.08625336927224,3.27246376811594,701.485032761745,683.426419961842
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,6611,485.417032219029,122.124489487218,8.61201028588716,460.5,90.5,5.5,50,59,7,1,0,3320,NaN,1,0,1,NaN,3320,NaN,7,4,1574.57142857143,1452,4,4,4,1,1597.75,1452,102,101,4213.50980392157,4223.83168316832,4,4,67.5,60.75,3885.73592987179,3881.98772198648,50,44,774.54,751.295454545455,23,22,4.39130434782609,3.22727272727273,740.626489889054,729.117032210214
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,27396,536.727405460651,653.195283983063,8.32366038837787,489.5,605.5,5.5,96,95,6,2496,2336,4200.24358974359,4218.28125,68,63,79.9705882352941,79.2698412698413,3808.65865099613,3786.18938728293,204,101,1839.11764705882,1960.52475247525,73,45,3.6986301369863,2.48888888888889,1674.78836690373,1611.96887985546,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,359,168,737.679665738162,649.208333333333,97,97,6.67010309278351,2.14432989690722,684.572055926837,635.944424733342
Br5558_NAC_Star_1_DRD1520_HTR7570_DRD2620_CRHR21690_10_Linear unmixing,24539,534.660825624516,524.881943029463,8.31712783732018,497.5,473.5,4.5,75,96,7,32,0,3448.65625,NaN,17,0,4.88235294117647,NaN,3382.78635640989,NaN,206,58,1615.5,1543.06896551724,93,43,4,1.37209302325581,1573.70345526998,1524.75484496124,1655,1423,4914.11299093656,4978.81236823612,44,37,67.3863636363636,62.6486486486486,3815.42335441351,3807.26831216782,1409,1043,755.518097941803,730.10067114094,457,406,4.85557986870897,3.45320197044335,720.672695840788,692.039383440459
