names,RVolume,X,Y,Z,BB1,BB2,BB3,BB4,BB5,BB6,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,33004,88.2394558235365,716.362592413041,6.34510968367471,26.5,667.5,3.5,126,105,5,374,360,5203.55080213904,5086.26666666667,28,28,25.1071428571429,21.3571428571429,4733.75769222675,4709.59980287074,5,5,13616.4,13616.4,1,1,5,5,13616.4,13616.4,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2,2,1164.5,1164.5,2,2,1,1,1164.5,1164.5
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,16126,284.597854396627,103.980218281037,6.57559221133573,245.5,66.5,3.5,78,70,6,7,0,3944,NaN,1,0,132,NaN,5636.52272727273,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,15,0,1471.33333333333,NaN,6,0,9.66666666666667,NaN,1559.3361946533,NaN
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,7338,15.2736440446988,447.597437994004,7.00136276914691,0.5,399.5,4.5,37,95,4,53,41,4394.67924528302,4407.24390243902,8,8,11.5,8.125,4360.52726158645,4276.5816717274,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,908,899,2135.02753303965,2123.66295884316,75,74,24.4133333333333,23.2837837837838,1622.81425529434,1619.14223838113
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,8013,98.2681891925621,14.418819418445,7.86072631973044,62.5,0.5,4.5,70,37,6,6,0,4194.66666666667,NaN,1,0,23,NaN,4465.04347826087,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,4,1,1304.75,1304,3,1,4,2,1499.70833333333,1272.5
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,11778,176.384955000849,670.396247240618,6.55654610290372,140.5,635.5,3.5,69,71,5,1,1,3357,3357,1,1,1,1,3357,3357,6,6,10973.6666666667,10973.6666666667,1,1,6,6,10973.6666666667,10973.6666666667,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,19155,178.148264160794,82.3303576089794,7.94440093970243,140.5,44.5,4.5,76,76,6,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,13555,208.241018074511,25.2486905201033,7.21541866469937,171.5,0.5,3.5,75,57,7,88,17,4890.36363636364,4046.70588235294,6,8,39.5,2.125,4819.17971540692,3842.64583333333,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,4,0,4751.5,NaN,1,0,15,NaN,4674.66666666667,NaN,39,4,1589.23076923077,1422.75,11,1,7.09090909090909,4,1566.02641117053,1422.75
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,17210,279.295351539802,900.6341080767,6.01499128413713,236.5,838.5,4.5,90,110,3,207,98,5027,4548.28571428571,27,27,13.7037037037037,4.37037037037037,4755.36242239627,4254.34776612277,198,198,18900.5858585859,18900.5858585859,12,12,42.8333333333333,42.8333333333333,13956.0378925226,13956.0378925226,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,7,0,1514.42857142857,NaN,5,0,3.2,NaN,1432.23428571429,NaN
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,19084,278.401016558373,33.3552190316495,6.98249842800251,241.5,0.5,3.5,96,73,7,61,12,5049.19672131148,3891.83333333333,7,6,23.4285714285714,2,5258.35363671301,3897.41666666667,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,8,0,4443.875,NaN,5,0,2,NaN,4358.16666666667,NaN,29,3,1567.03448275862,1540,9,2,7.11111111111111,1.5,1641.9464007895,1442.25
Br5558_NAC_Triangle_1_TAC1520_DRD1570_DRD2620_PENK690_10_Linear unmixing,221,398.285067873303,109.647058823529,5.4841628959276,391.5,103.5,4.5,14,12,2,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
