names,RVolume,X,Y,Z,BB1,BB2,BB3,BB4,BB5,BB6,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,3588,6.89102564102564,901.609810479376,6.76727982162765,0.5,881.5,0.5,15,43,11,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,24628,827.545679714146,698.163147636836,9.21024849764496,783.5,667.5,3.5,95,65,10,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,12,10,1443.66666666667,1465.3,7,6,2,1.83333333333333,1455.7619047619,1457.77777777778,30,29,748.1,750.241379310345,18,18,1.94444444444444,1.88888888888889,761.947222222222,761.975
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,12,16.5,582,5,15.5,578.5,4.5,2,7,1,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,4,0,942,NaN,3,0,16.3333333333333,NaN,1077.15811965812,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,24043,364.539283783222,723.479432683109,8.45090046999127,323.5,678.5,4.5,80,94,7,117,7,4165.5641025641,3943.42857142857,45,5,11.8,1.4,4173.88288679028,3919.3,40,40,9296.575,9296.575,1,1,69,69,9656.89855072464,9656.89855072464,283,28,1557.83392226148,1391.89285714286,132,22,4.98484848484848,1.45454545454545,1557.05443678854,1385.62121212121,402,96,810.126865671642,746.947916666667,213,79,3.7981220657277,1.34177215189873,805.551809601367,740.188818565401
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,940,442.667021276596,803.26170212766,6.91063829787234,431.5,792.5,4.5,24,22,5,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,15149,658.272823288666,1005.85847250644,8.23044425374612,625.5,982.5,3.5,64,42,9,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,25319,803.963703147834,355.177653145859,8.92385165290888,774.5,306.5,3.5,61,98,10,49,0,4200.67346938776,NaN,19,0,7.31578947368421,NaN,4203.88627555881,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,209,19,1703.03349282297,1512.21052631579,52,14,16.4423076923077,1.78571428571429,1734.16987686795,1479.87142857143,256,55,887.1328125,775.654545454545,95,45,5.45263157894737,1.31111111111111,841.174211596796,771.214814814815
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,14645,916.089040628201,712.532673267327,8.75998634346193,872.5,686.5,4.5,92,53,8,3,2,3917.66666666667,3696.5,1,1,19,16,4415.47368421053,4390.1875,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,3,2,747.666666666667,758,2,1,2,2,719.25,758
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,14751,927.347773032337,81.0897566266694,8.25489797301878,890.5,50.5,4.5,70,64,7,31,0,4039.09677419355,NaN,19,0,3.05263157894737,NaN,3999.2298245614,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,245,41,1595.11020408163,1410.90243902439,67,30,9.61194029850746,1.5,1594.64406845026,1408.91388888889,362,84,875.331491712707,784.142857142857,115,60,5.00869565217391,1.58333333333333,844.537852811929,777.314074074074
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,1928,27.3449170124481,976.194502074689,7.75259336099585,11.5,963.5,4.5,30,24,6,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,18502,145.641660361042,442.997675926927,8.69695168089936,111.5,408.5,4.5,65,66,8,7,7,4160.85714285714,4160.85714285714,4,4,96.75,96.75,4202.60287912633,4202.60287912633,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,16448,185.613813229572,489.669139105058,9.09545233463035,150.5,456.5,4.5,67,73,9,159,124,4312.46540880503,4204.95161290323,15,14,52.6,44.8571428571429,4087.81283743675,4072.62126750498,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,13,1,1455.61538461538,1312,8,1,3.5,1,1469.09523809524,1312,23,4,850.95652173913,755.25,10,2,4,3,866.602083333333,768.333333333333
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,16889,278.620285392859,991.189709278228,8.56373971223874,244.5,955.5,3.5,72,69,10,58,0,6405.41379310345,NaN,3,0,38.3333333333333,NaN,5993.31296296296,NaN,5,0,5902.2,NaN,1,0,11,NaN,5673.72727272727,NaN,36,0,1811.66666666667,NaN,6,0,10.6666666666667,NaN,1777.01203703704,NaN,27,1,935.592592592593,1145,12,1,3.58333333333333,1,838.011666666667,1145
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,17460,372.027777777778,888.256930126002,9.05853379152348,342.5,851.5,4.5,58,74,9,30,29,4497.56666666667,4397.13793103448,6,6,14.5,9.83333333333333,4245.55280244173,4194.42009803922,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,19369,400.181269038154,518.181527182611,8.74288812019206,362.5,474.5,4.5,80,84,7,33,6,4138.48484848485,3769.5,18,2,4,3,4100.2328042328,3754.125,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,130,6,1622.33846153846,1422.33333333333,60,6,5.86666666666667,1,1602.22138525055,1422.33333333333,220,57,848.690909090909,772.228070175439,90,44,4.48888888888889,1.47727272727273,840.343155914296,776.431277056277
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,2189,415.50890817725,661.598446779351,7.84833257195066,403.5,643.5,5.5,24,35,5,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Swirl_1_GAD1520_PVALB570_KIT620_PTHLH690_10_Linear unmixing,22424,452.127408134142,116.46820371031,9.18275062433107,399.5,71.5,5.5,87,93,7,5,1,4084.2,3974,5,1,1.2,1,3953.3,3974,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,31,7,1579.41935483871,1373.14285714286,19,6,4.73684210526316,1.16666666666667,1594.55403251719,1384.66666666667,104,47,843.153846153846,791.914893617021,56,38,4.08928571428571,2.26315789473684,823.585966318039,798.742392037787
