names,RVolume,X,Y,Z,BB1,BB2,BB3,BB4,BB5,BB6,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,19410,179.235754765585,597.608037094281,8.41411643482741,144.5,560.5,4.5,67,71,8,1525,1313,4709.58950819672,4778.53617669459,81,62,27.7160493827161,25.9516129032258,3850.75655162768,3648.47784062398,1485,1318,26150.6363636364,26281.1342943854,31,31,53.3870967741936,47,22511.4465161234,21832.0035764549,772,693,8018.84326424871,8095.53102453102,37,33,31.4324324324324,29.5757575757576,7177.82990242996,7214.55590256961,11270,9867,5192.60310559006,5257.5149488193,108,105,232.768518518519,204.447619047619,4812.65848837735,4833.69480435829
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,11998,209.597182863811,875.605684280713,9.33547257876313,183.5,851.5,4.5,55,48,9,14,9,3948.14285714286,3837.11111111111,4,2,8,8.5,3843.0974025974,4210.3125,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,293,293,2945.53583617747,2945.53583617747,9,9,461.222222222222,461.222222222222,3247.23011352682,3247.23011352682
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,22262,262.402614320367,844.976327374001,8.67738747641721,221.5,802.5,4.5,82,80,8,67,22,3596.22388059702,3214.81818181818,31,16,13.6451612903226,3.5,3674.1598974679,3280.7146577381,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,53,53,9478.1320754717,9478.1320754717,5,5,39.8,39.8,7910.92047101449,7910.92047101449,8181,7208,4013.2904290429,4065.97766370699,116,107,198.715517241379,174.785046728972,3589.3241575216,3596.26250522435
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,41146,441.694137947796,560.975647693579,10.0014096145433,404.5,506.5,4.5,78,118,10,838,646,4735.638424821,4851.06346749226,73,42,13.7671232876712,16.1904761904762,3867.19738343349,3726.4808937238,1610,1558,27913.3838509317,28060.0372272144,25,25,76.56,74.48,25089.0207739951,25076.3445803588,671,558,7974.58420268256,8030.94086021505,46,43,24.804347826087,21.3953488372093,7160.32548117339,7166.15272284974,5581,5238,3183.92850743594,3187.54505536464,100,101,100.47,81.8019801980198,2843.49099852794,2807.96255862783
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,13102,123.96550145016,620.350938787971,9.89238284231415,97.5,592.5,5.5,52,60,8,19,19,3195.78947368421,3195.78947368421,6,6,11.5,11.5,3390.80308482367,3390.80308482367,14,14,17795.2857142857,17795.2857142857,1,1,14,14,17795.2857142857,17795.2857142857,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,733,733,3774.83765347885,3774.83765347885,11,11,308.363636363636,292.636363636364,3754.64689886185,3754.10044954833
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,12000,289.072416666667,223.963416666667,10.4756666666667,265.5,197.5,5.5,48,56,9,3,3,3118,3118,3,3,1,1,3118,3118,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,12545,508.809724990036,386.593702670387,9.6609804703069,481.5,355.5,5.5,53,60,8,33,2,4373,2843.5,11,2,7.27272727272727,1,4342.94285714286,2843.5,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,15421,688.444458854808,374.036184423838,10.560469489657,657.5,336.5,6.5,58,74,7,1185,1133,4704.005907173,4742.86496028244,49,41,34.9183673469388,37.7317073170732,3836.635204198,3806.75501179118,1099,1079,26811.0727934486,26911.5254865616,25,25,47.92,47.12,22447.1171479394,22486.4939898362,1194,1032,9325.31407035176,9418.01453488372,37,34,49.0810810810811,38.2058823529412,7744.55802319672,7513.20179976903,5103,4713,3388.93533215755,3395.05559091874,72,67,142.847222222222,125.611940298507,3071.5813457276,3014.64143928662
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,16969,637.722729683541,116.256526607343,11.2188697035771,603.5,69.5,7.5,68,88,6,32,10,3185.125,3180.4,21,8,8.52380952380952,2.75,3515.47072458156,3195.73958333333,1,1,16215,16215,1,1,1,1,16215,16215,1505,1294,9021.69169435216,9097.21561051005,47,48,56.2340425531915,46.9375,7515.27662030929,7455.49814241346,9223,7909,4261.26835086198,4268.82538879757,113,118,207.469026548673,167.805084745763,3865.46383414887,3852.07427067084
Br5558_NAC_Circle_1_RXFP1520_CRHR2570_DRD1620_TAC1690_10_Linear unmixing,12485,727.827553063676,715.376932318783,11.1577893472167,691.5,679.5,7.5,66,66,7,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,1,2550,2550,1,1,2,2,2417.5,2417.5
