"Astro_1vAll","Astro_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Inhib.3_1vAll","Inhib.3_pw","Inhib.4_1vAll","Inhib.4_pw","Micro_1vAll","Micro_pw","MSN.D1.1_1vAll","MSN.D1.1_pw","MSN.D1.2_1vAll","MSN.D1.2_pw","MSN.D1.3_1vAll","MSN.D1.3_pw","MSN.D1.4_1vAll","MSN.D1.4_pw","MSN.D2.1_1vAll","MSN.D2.1_pw","MSN.D2.2_1vAll","MSN.D2.2_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"RNF219-AS1","RNF219-AS1","NPY","NPY","KCNC2","SPHKAP","IL1RAPL2","IL1RAPL2","TAC3","TAC3","DOCK8","DOCK8","VWC2L","VWC2L","FAM19A1","FAM19A1","RXFP1","CPNE4","CNTNAP3B","CNTNAP3B","CLMP","TTN","DRD2","MAN1A1","PLP1","ST18","CA10","VCAN"
"BMPR1B","AQP4","SST","SST","AFF2","LAMA3","KCNC2","LINC01885","GFRA2","CALB2","ADAM28","ADAM28","NPFFR2","NPFFR2","EPHA5","RXFP2","TRHDE","AC022126.1","RELN","LINC01725","TTN","NETO1","PENK","UTRN","RNF220","PLP1","AC004852.2","AC004852.2"
"AQP4","FGFR3","FBN2","AC005837.1","KCNJ3","LRFN2","LINC01885","NXPH1","CALB2","GLP1R","SYK","SYK","PCDH11Y","GABRQ","RXFP2","SEMA3E","CPNE4","LINC01551","HS6ST3","FOXO1","ATP10A","LOXHD1","PTPRM","PENK","ST18","MBP","VCAN","CA10"
"FGFR3","SPARCL1","AC005837.1","FBN2","KCNJ6","LINC02082","HAPLN1","HAPLN1","NXPH2","NPR3","APBB1IP","APBB1IP","CLSTN2","RXFP1","KCNJ6","FAM160A1","LUZP2","AL590867.1","CNTNAP3","LINC02137","GRIK3","SLC22A10","UTRN","MYO3A","TMEM144","RNF220","COL9A1","COL9A1"
"SPARCL1","BMPR1B","AFF2","PNOC","LAMA3","PTPRB","OPN3","OPN3","CHRM2","CER1","PTPRC","LY86","SAMD3","AC068051.1","KCNH5","PMEPA1","SEMA5B","NPTX1","DRD1","STRIP2","HTR7","ZNF804A","GPR6","PRMT8","MBP","TMEM144","PDGFRA","PTPRZ1"
"EFEMP1","EFEMP1","PNOC","NOS1","SPHKAP","KCNJ3","NXPH1","PTHLH","GLP1R","TRH","LY86","PTPRC","GABRQ","ITGA6","FAM160A1","GNAL","ZNF804B","FRAS1","PDYN","PRKCH","LINC00707","ATP10A","FIG4","HTR2C","CTNNA3","CTNNA3","AC124254.1","PDGFRA"
"RANBP3L","ATP1A2","NOS1","ST6GALNAC2","ARL4C","AP1S2","PTHLH","KMO","NPR3","GFRA2","CSF1R","CSF1R","RXFP1","PCDH11X","LYPD1","MME","CASZ1","OPRM1","LINC01951","ADAMTS19","LOXHD1","TAC1","UNC5D","SHISA9","DOCK5","DOCK5","MIR3681HG","AC124254.1"
"ETNPPL","SLC1A2","SAMD3","TENT5A","EPHA5","PCDH19","GRIP2","PDGFD","CER1","CHRNA3","FLI1","FLI1","AC068051.1","ARHGAP18","THSD7B","AC093523.1","FOXP2","ILDR2","LINGO2","MCTP1","HS3ST4","CLMP","OPRD1","CDH9","LPAR1","KCNH8","MEGF11","MEGF11"
"ATP1A2","RANBP3L","LHX6","CYGB","NR2F1-AS1","ANKRD29","IGF1","NGF","TRH","RERGL","FYB1","FYB1","EYA2","NRP2","SEMA3E","EBF1","CRHR2","RYR3","SORCS1","TOMM70","SMYD2","LINC00707","MAN1A1","CALB1","MOG","C10orf90","CSPG4","MIR3681HG"
"GJA1","ETNPPL","GRIN3A","LHX6","LRFN2","","KMO","LINC02552","CHRNA3","AC007614.1","INPP5D","INPP5D","CUX2","FRMD6","CADPS2","LYPD1","ILDR2","SORCS1","LAMB1","LINC00598","SVIL","SVIL","HTR2C","CRNDE","PLEKHH1","IL1RAPL1","GALR1","GALR1"
"RHOJ","RHOJ","CYGB","AFF2","ELAVL4","","CUX2","AP002989.1","RERGL","CRABP1","BLNK","C3","CADPS2","CHRM5","PMEPA1","AL365255.1","CNTN5","PLCB1","TAC1","MCTP2","SLC22A10","MYO1B","NDST3","CA12","CERCAM","CREB5","TNR","CSPG4"
"ADGRV1","GJA1","ST6GALNAC2","LRP8","PPM1E","","PDGFD","PRSS12","ELAVL2","HCRTR2","C3","BLNK","PDE1A","SLC35F4","KIRREL1","RPS12","AC022126.1","OTOF","AL445584.2","CNTNAP3","LINC02133","AC023905.1","EYA1","ONECUT2","CREB5","SLC44A1","AFAP1L2","C1QL1"
"SLC1A2","PAMR1","TENT5A","TRPC7","SDK1","","LHX6","AL356108.1","SCN7A","LINC01322","TBXAS1","TBXAS1","ITGA6","CAMK2D","GDNF-AS1","ADGRL2","ADARB2","AL050403.2","SLC35F3","RIC8B","POU6F2","RDH10","SLC24A4","LINC00534","ENPP2","LPAR1","C1QL1","AFAP1L2"
"LINC00299","NHSL1","NXPH2","CHODL","MCUB","","ANK1","LGI2","CRABP1","LINGO2","WDFY4","WDFY4","FRMD6","CADPS2","MRAP2","RPL34","TACR1","AC013652.1","MCTP1","PDYN","GRIK1","TESC","RIT2","FIG4","KCNH8","GAB1","MMP16","STK32A"
"PAMR1","LINC00299","TOX3","TOX3","ANK1","","THSD4","MYRFL","AC007614.1","ADAMTS18","IKZF1","CD74","ELAVL4","CRIM1","RPL34","TOMM7","TSHZ1","BZW2","DGKH","FBXO34","CACNG5","MCHR2","RABGAP1L","SGCZ","LINC01608","MOG","PTPRZ1","TNR"
"AC002429.2","AC002429.2","LRP8","GPR156","NHS","","PRSS12","ADCY1","NELL1","ANTXR2","CD74","IKZF1","KCNJ3","RASSF8-AS1","BAIAP2L1","RPS20","AL590867.1","RASGRP1","STRIP2","SPEF1","CNTN5","BMPER","LINC00534","TMEM164","CLMN","PLEKHH1","SMOC1","MMP16"
"GLI3","GLI3","NELL1","GRIN3A","KIAA1211","","NGF","CUX2","LHX6","PCSK5","P2RY12","ARHGAP15","PLCXD3","DIRAS3","RPL36AL","MACROD2","KCNT2","C6orf141","HTR2C","LINC02112","AC023905.1","AC068722.1","CALB1","EPB41L4B","C10orf90","ENPP2","PCDH15","FERMT1"
"SLC7A11","SLC7A11","CHRM2","MOXD1","VWC2L","","PIP5K1B","NTN4","AL445623.2","STXBP6","ARHGAP15","P2RY12","TRHDE","CUBN","AL365255.1","BAIAP2L1","TLL1","ANKMY2","ANO3","AL359220.1","MYO1B","PTCHD1","CDH9","SH3RF2","SLC44A1","CLMN","STK32A","ATP2C2"
"NHSL1","AC099792.1","TRPC7","SNTG2","IGF1","","LINC02552","KIT","PLPP4","SCN7A","CX3CR1","CX3CR1","ARHGAP18","RIMS2","RPS12","GRM1","ALK","FRK","LINC01250","CCDC196","PLCXD3","FAT1","OPRM1","AC010997.3","TF","TF","FERMT1","BCAN"
"YAP1","EDNRB","RAB3B","TLL2","KCNH5","","SFTA3","KCNC2","ARL4C","KCTD16","SAMSN1","SAMSN1","ZNF804B","FGF14","RPS24","RAP1GAP","ST8SIA2","FOXG1","AC008574.1","AP001993.1","RDH10","PLCL2","AC008574.1","NHSL2","BCAS1","PPP2R2B","SPRY4","GPR17"
"EDNRB","FRMPD2","SNTG2","SLC27A6","PCDH19","","ELAVL2","GPR22","SFTA3","AC073050.1","CD53","LYN","SEMA5B","DNAH2","EBF1","RPS24","FHOD3","LRPAP1","PRKCH","PLEKHA5","CHRM3","MIR7-3HG","FAM135B","LINC01122","TTLL7","LINC01608","ATP2C2","SMOC1"
"FRMPD2","ADGRV1","SLC27A6","SAMD3","ADARB2","","AL445623.2","SLC26A4","ADAMTS20","FAT4","LYN","RBM47","LUZP2","PPP1R14C","RPS23","CRYM","KIRREL1","DRD1","GALNT18","C20orf27","LINC01305","LINC01305","CRNDE","MYO5C","UGT8","CERCAM","AL445250.1","ARHGAP42"
"LINC00499","PRDM16","TLL2","PLA2R1","ANKRD29","","AP002989.1","RNF144B","CTXND1","CDH22","RBM47","CD53","NRP2","TLL1","RPL7","RPS23","ARHGAP18","SLCO5A1","HTR4","CNKSR2","FAT1","NPAS2","COCH","CFAP54","MOBP","DAAM2","XYLT1","BLM"
"PRDM16","LINC00499","EPHA5","RAB3B","TMEM108","","ARL4C","GRIP1","PLCB4","HMCN2","ARHGAP25","ARHGAP25","GRIN3A","PCDH11Y","MECOM","PFDN5","AMOTL1","CASZ1","CAMK4","AC092535.3","SULF2","TMEM132E","PCDH11X","CACNA1E","GAB1","PIP4K2A","GPR17","LHFPL3"
"PAPLN","SLC4A4","TOX","CPNE8","TCF4","","NTN4","KANK4","CLSTN2","PRR16","PIK3R5","RGS10","SEZ6L","TMEM35A","TOMM7","ENC1","DIRAS2","LINC01951","COCH","LINC01250","ALK","DACH1","RGS6","CDC40","FA2H","UGT8","PDZRN4","PXDN"
"SLCO1C1","SLCO1C1","ANK1","FAM163A","MAST1","","LGI2","DPP10","GPR83","PCDH8","RGS10","FGD2","TSHZ1","PDE8B","EEF1B2","RPL23A","PDIA5","ASIC2","AC104151.1","LPL","TMEM132E","SMYD2","SCIN","KCNQ5","ZNF536","FA2H","DSCAM","OLIG1"
"HIF3A","PAPLN","TACR1","PLCH1","GABBR2","","AL356108.1","GRIP2","NXPH1","GLT8D2","FGD2","PIK3R5","KIRREL1","OLFM3","MME","RPL37A","SEMA6D","SORBS2","CDH12","AC079385.1","AC068722.1","FER1L6-AS2","ZFPM2","CACNB2","MYRF","TMTC2","NTN1","CALCRL"
"ACSBG1","YAP1","SOX6","RBP4","NR2F1","","RNF144B","LRRC39","PCSK5","FABP5","CSF3R","CSF3R","CHRM5","STK17A","RPS20","UQCRB","SORCS2","NKAIN2","AL591501.1","RNF212","SEMA6D","CACNG5","CA12","SCIN","DAAM2","PHLPP1","BLM","TMEM132C"
