"Astro_1vAll","Astro_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Inhib.3_1vAll","Inhib.3_pw","Inhib.4_1vAll","Inhib.4_pw","Micro_1vAll","Micro_pw","MSN.D1.1_1vAll","MSN.D1.1_pw","MSN.D1.2_1vAll","MSN.D1.2_pw","MSN.D1.3_1vAll","MSN.D1.3_pw","MSN.D1.4_1vAll","MSN.D1.4_pw","MSN.D2.1_1vAll","MSN.D2.1_pw","MSN.D2.2_1vAll","MSN.D2.2_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"WIF1","HIF3A","NTN1","DACH2","PDZRN3","","CDCA7","CRTAC1","SEL1L3","ELAVL2","DOCK2","ST6GAL1","FOXP2","CLSTN2","MAMDC2","RPL36AL","AP000943.3","ACTN2","ITPR1","AC068875.1","CASZ1","SEMA6D","HTR4","RPS6KA6","SLCO1A2","MOBP","SULF2","AL445250.1"
"GNA14","ACSBG1","MOXD1","TACR1","DLX6-AS1","","KIAA1211","RND3","ADAMTS18","AC025809.1","CSF2RA","CSF2RA","TLL1","TMEM47","PFDN5","MECOM","BEND7","FOXG1-AS1","AGBL1","SLC16A10","TAC1","AC005482.1","GUCY1A1","EYA1","CNTN2","LINC00639","SEZ6L","NKAIN4"
"F3","WIF1","SLC44A5","IGF2BP3","ADCY2","","KIT","PDE3A","HCRTR2","ZDHHC21","RHBDF2","SP100","GNG4","CDH18","TMC2","MAMDC2","NTNG1","LRRTM3","LDB2","STYK1","PTPRT","GPR6","SGCZ","AL591885.1","LINC00639","SIK3","USP43","SPRY4"
"AC099792.1","APOE","CPNE8","GPX3","MEF2C","","MYRFL","BEST3","TRPC5","PRELID2","ST6GAL1","DOCK2","PPM1E","HTR2A","PLEKHA7","RPL7","BACH2","STXBP5L","PCLO","CAMKMT","PDLIM5","DGKB","ANKRD34B","SPEF2","CNP","COL4A5","CCDC50","PLEKHH2"
"DDAH1","F3","ELAVL2","HDAC4","NCALD","","NKX2-1","ADAMTS9","LINC02223","TPM1","SP100","LAPTM5","TCERG1L","KIRREL1","RXRG","CDK6","GHR","SCN4B","ADAMTS19","FP700111.1","MCHR2","GPRIN3","COL11A1","TPD52L1","SHROOM4","SHROOM4","CALCRL","EPN2"
"WDR49","GNA14","EPHA5-AS1","CBLN4","MYO16","","CRTAC1","KCNMA1","SLC22A3","LINC01411","LAPTM5","RHBDF2","CAMK2D","DTWD2","TMEM132C","TPT1","EPS8","JAG1","SLIT3","KIAA1468","BACH2","CACNB4","SMOC2","TENM2","PEX5L","ARAP2","FGFR1","USP43"
"AC091826.2","PLSCR4","AL445623.2","RAC3","GNAS","","SLC44A5","SIAH3","STXBP6","GRID1","ITGAX","ITGAX","ADARB2","ZADH2","RPL23A","YPEL1","ANKRD6","GPR158","PDZD2","SMAD1","NTNG1","PTCHD1-AS","MYO3A","ACTN1","PIP4K2A","SLCO1A2","LINC02588","SPSB4"
"FAM189A2","ACOT11","PCDH15","SCN9A","ZBTB16","","CRABP1","TMEM178A","GNAS","OPRD1","A2M","LPAR6","SHISA6","LRRN3","UQCRB","EEF1B2","SLC35F1","STAC","PCP4","DGKH","MIR7-3HG","SIX3","CDH12","ENPP6","TMTC2","CNP","IGSF21","LINC00511"
"COL5A3","COL5A3","NHS","EPHA5-AS1","THSD7B","","ADCY1","GAD1","ARHGAP28","ARHGAP28","LPAR6","MYO1F","SDK2","TSHZ1","RPL35A","GPR155","NPTX1","GALNTL6","ADAM23","STARD4","DACH1","FOXP1","AL022068.1","ABLIM2","AC026316.5","BCAS1","STK32B","AL392023.2"
"MRVI1","WDR49","GALNT14","QPCT","NPTXR","","NHS","DLGAP1","NFIB","RGS17","MYO1F","BNC2","PLCB4","KCNIP4","AC087457.1","RPS3A","SPECC1","AC022387.1","RALYL","PCLO","CPNE7","FAM135B","DCC","RGS14","PRUNE2","NCKAP5","PRRX1","PDZRN4"
"RGMA","MRVI1","GPR156","TOX2","PLCB4","","FGD5","THSD4","SOX6","AP000943.3","BNC2","PIK3AP1","PDIA5","TRPC4","RPS4X","RPL30","FAM155A","AL138828.1","DGKI","BMP6","KCNT2","TMC1","EPB41L4B","AL109930.1","CNDP1","MYRF","AP005433.1","ADAMTS17"
"GLIS3","GINS3","PLA2R1","MAGEL2","SLC44A5","","BEST3","DLX6-AS1","TCF4","VSTM2A","PIK3AP1","A2M","DIRAS3","EYA2","PCSK2","RPL38","OXR1","PLXNA2","ROBO2","FRS2","ATP8B1","JCAD","NETO2","AC009318.1","FAM107B","FMNL2","NCALD","COL11A1"
