"Astro_1vAll","Astro_pw","Excit.1_1vAll","Excit.1_pw","Excit.2_1vAll","Excit.2_pw","Excit.3_1vAll","Excit.3_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Inhib.3_1vAll","Inhib.3_pw","Inhib.4_1vAll","Inhib.4_pw","Inhib.5_1vAll","Inhib.5_pw","Micro_1vAll","Micro_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"FGFR3","ARHGEF26","SH3GL2","AC134312.4","CYP1B1-AS1","CDH7","BTNL9","CACNG8","NETO2","","ARL4C","HAPLN4","OPRD1","CYYR1","ASIC2","HTR2C","GABRG3","LINC02133","SRGAP2B","SAMSN1","SLCO1A2","TTLL7","DSCAM","MIR3681HG"
"SLCO1C1","MGST1","TRIM54","LINC02217","SPHKAP","CYP1B1-AS1","B4GALNT3","LINC01821","ANK1","","ANKRD55","CRTAC1","MARCH11","PLA2R1","DLX1","ADAMTS6","HS6ST2","CPNE5","WDFY4","SRGAP2B","FRMD4B","LPAR1","CSPG4","PRKG2"
"STON2","HIF3A","ANKRD33B","ZDHHC23","NR2F1","MDGA1","C4orf50","B4GALNT3","PTHLH","","FSTL5","B3GALT2","KCNC1","LINC02552","ARHGAP28","CDH10","MIR137HG","DIRAS3","MYO1F","WDFY4","TMTC2","LINC01608","ATP2C2","SOX6"
"MGAT4C","STON2","ANKRD34C-AS1","SNCA","RIT2","NR2F2-AS1","LINC01951","MIR4435-2HG","VSTM2A","","ENTPD3","HOMER2","SCARA5","GABRD","ENTPD3","BSPRY","NYAP2","LINC01902","SAMSN1","LYN","ABCA8","PLCL1","NTNG1","LHFPL3"
"CACHD1","SLC25A18","FAM153C","SLC17A7","MDGA1","SPHKAP","FREM3","FREM3","GABRA1","","GRIN2A","PDGFD","SVIL","RET","ST8SIA5","RGS12","FOXP2","MEIS1","A2M","MYO1F","MAP7","FA2H","CACNG4","SEMA5A"
"YAP1","ADGRA3","DLGAP2","AL136317.2","SSTR2","LINC01122","GALNT9","ANKRD30BL","ZNF385D","","PRMT8","DUSP4","KCNC2","AP000943.3","SCG2","SLC1A6","GALNTL6","PDIA5","CYFIP1","ABCC4","PLCL1","SIK3","SOX6","SCD5"
"ADGRA3","YAP1","ACTN1","PDZD7","DRAXIN","DRAXIN","AC090568.2","AC067956.1","NDST4","","PAPSS2","HLF","PTCHD4","AP006295.1","NETO2","PCDH8","STMN2","BAIAP3","CD74","CD74","FOLH1","PRUNE2","PTPRZ1","TMEM163"
"SLC25A18","GNA14","NELL2","NAGPA","NRG1","MN1","CACNG8","LINC01331","SLC35F4","","MYO16","EGFR","CNTNAP3","N4BP3","CCK","","SUSD4","MKX","LYN","PIK3R5","FA2H","AC026316.5","GRIK1","POU6F2"
"GNA14","LINC00299","CPNE4","THOC3","NXPH2","AC012409.2","LINC01331","ST6GALNAC5","ZMAT4","","FGF9","PRELID2","TRMT9B","CA4","KCNT2","","LINC01776","STRIP2","PIK3R5","A2M","PDE1C","DAAM2","MIR3681HG","LINC02223"
"MRVI1","SLC1A3","CYTOR","LINC01106","ADGRL2","OOEP","ARNTL2","LINC01284","ASIC2","","RAB3C","PTPRT","TRPC4","GPR149","FGD5","","SDK2","FRAS1","ABCC4","ABR","SLCO3A1","POLR2F","SCN9A","EPN2"
"LINC00299","ATP13A4","AC008574.1","STXBP5-AS1","AFF2","ADGRL2","FSTL4","AC092683.1","RGS8","","EYA4","PTPRM","THSD7A","TRPC4","KCNC2","","RASGRP1","PPP3CA","CSF2RA","AP003481.1","SEPT7","TMEM165","SLC35F1","FGFR1"
"LINC01748","MRVI1","LINGO2","AL591845.1","STMN2","SSTR2","LINC01284","FP700111.1","MYRIP","","UNC13C","ZMAT4","SNTG2","CPLX1","GALNTL6","","AP000943.3","UBE2QL1","AP003481.1","RCSD1","ZNF536","TRIM2","OPCML","ARHGAP42"
"ACSS3","SLCO1C1","CAMK2A","LINC01811","PALMD","RPS18","LINC01500","CPNE4","CALY","","FREM1","EYA4","ZNF804A","KCP","IGFBP5","","ERICH3","KCNK9","RCSD1","RBM47","TMEM165","SLCO1A2","PDZRN4","LRRK2"
