"Astro_1vAll","Astro_pw","Excit.1_1vAll","Excit.1_pw","Excit.2_1vAll","Excit.2_pw","Excit.3_1vAll","Excit.3_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Inhib.3_1vAll","Inhib.3_pw","Inhib.4_1vAll","Inhib.4_pw","Inhib.5_1vAll","Inhib.5_pw","Micro_1vAll","Micro_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"RNF219-AS1","RNF219-AS1","MLIP","NPTX1","FST","FST","MCHR2","MCHR2","SYNPR","ELAVL2","GAD2","GAD2","LINC00943","LINC00943","CALB2","VWA5B1","NPFFR2","NPFFR2","DOCK8","DOCK8","RNF220","ST18","MEGF11","MEGF11"
"ADGRV1","BMPR1B","ST6GALNAC5","SLC30A3","DCDC2C","DCDC2C","AL391704.2","CDH22","CNR1","TRIM67","TACR1","TACR1","LHX6","LHX6","VWC2L","VWC2L","SV2C","LINC00390","APBB1IP","APBB1IP","ST18","RNF220","AC004852.2","AC004852.2"
"BMPR1B","GLI3","PTPRR","AL117190.2","PRSS12","PRSS12","CDH22","DNAJC5G","DLX6-AS1","STAT4","MPPED1","RPH3A","AC006065.4","AC006065.4","SYNPR","KCNT2","GRM4","TLL1","INPP5D","INPP5D","CTNNA3","CTNNA3","STK32A","PTPRZ1"
"GLI3","ETNPPL","GRM1","ICAM5","BHLHE22","BHLHE22","DNAJC5G","DCSTAMP","ELAVL2","CACNA2D2","CPLX3","CPLX3","ZNF385D-AS2","ZNF385D-AS2","DLX6-AS1","C8orf34-AS1","LINC00390","GRM4","ADAM28","ADAM28","PLP1","MBP","LHFPL3","STK32A"
"ETNPPL","SLC1A2","MIR4435-2HG","SEMA3D","SOX11","SOX11","DCSTAMP","NWD2","CALB2","MFSD9","RPH3A","SERTM1","MME","AP002759.1","LYPD6B","CALB2","PCDH11X","PCDH11Y","FYB1","FYB1","SLC24A2","PLP1","MYT1","TNR"
"AC002429.2","AC002429.2","SLC17A7","C1orf115","CLMP","CLMP","NWD2","AL391704.2","BTBD11","SRRM4","NXPH2","LINC00298","AP002759.1","MME","ADRA1B","IGFBP5","PCDH11Y","OTOF","CSF1R","P2RY12","PLEKHH1","PHLPP1","TNR","MYT1"
"PAMR1","PAMR1","SYT7","NRN1","AP001636.3","AP001636.3","AC138904.3","AC138904.3","FGD5","PTPRN","FGF13","HAPLN1","SCUBE3","SCUBE3","VWA5B1","AC092422.1","OTOF","STC1","P2RY12","CSF1R","MBP","SLC24A2","VCAN","PDGFRA"
"RANBP3L","ATP1A2","LDB2","PHF24","NEUROD2","NEUROD2","AC106795.3","COL24A1","ROBO2","","GRIN3A","BMP6","PLEKHD1","MYO1B","VIP","HRH3","MRAP2","AC069133.1","SLCO2B1","SLCO2B1","ENPP2","KCNH8","SULF2","CALCRL"
"AQP4","AQP4","LINC01250","GRASP","AL390763.2","AL390763.2","COL24A1","RBFOX3","LYPD6B","","SERTM1","KIT","MYO1B","PLEKHD1","PCDH8","NPR3","SLC35F4","GRM8","TBXAS1","ST6GAL1","SLC44A1","SLC44A1","MMP16","PCDH15"
"EFEMP1","EFEMP1","AC011287.1","MIR222HG","TFAP2D","TFAP2D","AC109779.1","AC109779.1","ENTPD3","","KIT","NDNF","GPR149","CNTNAP3B","PTHLH","SYNPR","TLL1","GRIK3","SYK","TBXAS1","MOG","PLEKHH1","COL9A1","MMP16"
"FAM189A2","RANBP3L","FSTL4","SCN3B","LINC02254","SLC17A6","PTGER3","PRSS3","ADRA1B","","NRIP3","PAPSS2","ANK1","AC010127.1","BTBD11","ADRA1B","CNGB1","CNGB1","ATP8B4","SYK","TMEM144","C10orf90","AFAP1L2","LINC02588"
"SLC7A11","SLC7A11","SLC30A3","DACH1","IGSF3","TBR1","ADAMTS3","PTGER3","GAD1","","BMP6","MPPED1","AC010127.1","ZNF385D","ARL4C","GLRA2","STC1","GABRQ","AC008691.1","ATP8B4","TF","ENPP2","PCDH15","LINC00511"
"RFX4","ADGRV1","CDH9","MMD","GREM2","LINC02254","PRSS3","CHD5","KCNC2","","PTCHD4","NRIP3","HTR1F","HTR1F","CRH","RGS8","AC069133.1","FOXP2","DOCK2","DOCK2","MOBP","DOCK5","PDGFRA","AFAP1L2"
"RYR3","FAM189A2","PALMD","MLIP","RSPO3","RSPO3","AC011287.1","SMIM36","DLX1","","HAPLN1","FREM1","ZNF385D","HS3ST2","KMO","DLX6-AS1","PRLR","DRD1","FLI1","FLI1","DOCK5","TMEM144","LINC02588","GALR1"
"TPD52L1","RFX4","NPTX1","GLB1L3","CDH7","GREM2","ANKRD18B","SLC22A10","GRIP2","","KCNC2","GRIN2A","RASGRF2-AS1","CALB1","RGS8","LAMC3","GRM8","SLC35F4","PALD1","LRMDA","TTLL7","PIP4K2A","CALCRL","NTN1"
"GLIS3","NHSL1","AC139491.7","FAM153A","TBR1","SOX4","CFAP46","AC106795.3","ARHGAP28","","GRIP2","LAMP5","HS3ST2","RASGRF2-AS1","CHRM3","CRH","ST8SIA6","PCDH11X","ARHGAP15","PALD1","CLMN","QKI","AC124254.1","FERMT1"
"PRDM16","TPD52L1","ENC1","LRRC6","SLC17A6","RIT2","LY86-AS1","STXBP5L","ARL4C","","SV2C","RAB3C","AP001978.1","NPNT","NPR3","LAMA3","AL359649.1","ST8SIA6","HS3ST4","BLNK","CERCAM","MOG","LUZP2","PRRX1"
"SLC1A2","GLIS3","KIAA1211L","CDH18","CD24","CD24","SLC22A10","ANKRD18B","CHRM3","","PKP2","AC137770.1","NPNT","AP001978.1","ZNF804A","ST8SIA5","SYT10","SYT10","BLNK","C3","PRUNE2","PPP2R2B","CA10","LRRN1"
"SPARCL1","GPC5","MIR137HG","KCNV1","AC020704.1","AC020704.1","MIR4435-2HG","KLK7","SRRM4","","CCK","GRIK1","COL12A1","SHH","ROBO2","PROX1","UNC5D","PBX3","LPAR6","LPAR6","UGT8","TF","SEMA5A","XYLT1"
"SLC4A4","GPM6A","AC090568.2","NRGN","CASC15","CASC15","CHD5","AC011287.1","THSD7B","","LAMP5","PTPRB","CALB1","ANK1","CNR1","ASIC2","DRD1","ADAMTSL1","C3","AC008691.1","AC026316.5","BCAS1","GALR1","COL9A1"
"GPC5","FGFR3","AL117190.2","VWA5B2","SOX4","IGSF3","SMIM36","BTNL9","VWC2L","","LINC00298","GRIN3A","KCNT1","CNTNAP3","HRH3","RARB","GABRQ","VIM-AS1","LY86","PTPRC","FRMD5","CREB5","NXPH1","CSPG4"
"GJA1","GJA1","CDH18","MUM1L1","ST8SIA2","ST8SIA2","LINC01821","LY86-AS1","NHS","","DLX6-AS1","GPR63","AP000943.3","SCARA5","SHISA8","SVEP1","VSNL1","MRAP2","PTPRC","HS3ST4","C10orf90","UGT8","NTN1","SULF2"
"ATP1A2","SLC4A4","SLIT3","EXTL1","SYT4","MEX3A","ST6GALNAC5","BMS1P14","PCDH8","","NYAP2","FGF13","CNTNAP3B","MARCH11","GLRA2","KMO","NRG1","TSHZ1","CPED1","LY86","KCNH8","GAB1","FERMT1","UST"
"AC091826.2","PRDM16","NWD2","NEFL","NNAT","CCBE1","CPNE4","CACNA1B","GAD2","","ZMAT4","ANKRD55","SHH","KCNC1","GPR149","VIP","AL365255.1","VSNL1","IKZF1","IKZF1","LINC01608","MOBP","SMOC1","AC124254.1"
"ID4","LINC01748","ADAMTS16","HOPX","MEX3A","SYT4","RBFOX3","LINC01500","GRIP1","","TOX2","AC005186.1","CYYR1","ADAMTS5","C8orf34-AS1","CCDC184","OLFM3","PPP1R14C","ST6GAL1","ARHGAP15","POLR2F","CLMN","LRRN1","ATP2C2"
"ARHGEF26","ID4","ANO3","GRHL1","CCBE1","NNAT","BMS1P14","C4orf50","SCG2","","NDNF","TOX2","GABRD","DPP10-AS3","PKP2","IQGAP2","FRAS1","SV2C","CX3CR1","CX3CR1","PIP4K2A","TMTC2","SEZ6L","BCAN"
"NHSL1","CACHD1","ZNF831","SNAP25-AS1","NR2F2","NR2F1","KLK7","GALNT9","MTUS2","","KIRREL1","PIP5K1B","COBLL1","KCNT1","LAMA3","LYPD6B","GRIK3","SIX3","RASGEF1C","RASGEF1C","PXK","CERCAM","XYLT1","PDZRN4"
