"","Astro","Astro_pt","Excit","Excit_pt","Inhib","Inhib_pt","Micro","Micro_pt","Oligo","Oligo_pt","OPC","OPC_pt"
"1","AC097518.1","IGFN1","AC006007.1","EMX1","ZNF385D-AS2","NKX2-1","LINC01468","MYO1F","AC005329.3","IFNA2","AL445673.1","CPXM1"
"2","IGFN1","SLC14A1","AC025366.1","OR14I1","AL118508.1","CYP1A1","MYO1F","BIN2","LINC01222","CLDND1","CPXM1","KCNG4"
"3","SLC14A1","BBOX1","AL357833.1","MLIP","LINC02488","NMUR1","BIN2","CCL20","IFNA2","CTNNA3","KCNG4","GDF6"
"4","BBOX1","TMPRSS3","AC004817.1","DCSTAMP","NKX2-1","TRPM5","CCL20","MSLN","CLDND1","QDPR","GDF6","GCOM1"
"5","AC013553.3","MRVI1","LINC01912","FOXF2","CYP1A1","IBSP","MSLN","CD300C","CTNNA3","OPALIN","AC096559.1","CCKAR"
"6","AL138957.1","NEUROG2","LINC01090","DNAJC5G","NMUR1","LYPD6B","AF127936.1","PTGS1","QDPR","GREM1","GCOM1","CSPG4"
"7","AC109439.2","LAMA1","LINC02498","CCNO","TRPM5","NXPH2","CD300C","PIK3AP1","OPALIN","CD22","MIR3681HG","ATP2C2"
"8","AC136475.9","SIX5","AC007953.2","OR2T11","AC006065.4","ANO1","AC074327.1","SIGLEC10","AL354809.1","HHIP","CCKAR","NEU4"
"9","TMPRSS3","YAP1","EMX1","TRIM54","IBSP","CHRNA2","AL135960.1","HLA-DOA","AL034405.1","CCP110","CSPG4","HAS2"
"10","AC087379.1","ZIC5","LINC01920","CNGB1","AC010857.1","VIP","PTGS1","NCF2","GREM1","MAG","AC015909.3","FOXD1"
"11","AC069148.1","CRACR2B","AC104024.2","PROC","LYPD6B","PLSCR5","PIK3AP1","PRDM11","CD22","LDB3","AL118505.1","EMILIN3"
"12","RNF219-AS1","PRDX6","LINC00507","CYP4A11","NXPH2","DRD5","SIGLEC10","TFEC","HHIP","FXYD4","AC016044.1","COL20A1"
"13","MRVI1","OTX1","LINC01335","OR2T10","AC116614.1","SP8","HLA-DOA","FCGR3A","LINC00323","POU2AF1","DSCAM-AS1","FZD10"
"14","NEUROG2","SLC39A12","AC107208.1","NPFFR2","ANO1","EXOC1L","NCF2","CASP1","CCP110","AC026316.5","AC131097.3","NR0B1"
"15","LAMA1","GPAM","LINC02364","FRMD7","CHRNA2","AVPR1A","LINC00477","SERPINA1","AL121656.1","FOLH1","ATP2C2","MROH9"
"16","SIX5","GJA1","AC022655.1","GRM2","VIP","LHX6","PRDM11","SOWAHD","MAG","CAPN13","AL110292.1","SGCA"
"17","SLC39A12-AS1","TRIM29","OR14I1","NEK2","PLSCR5","AL603832.3","TFEC","IL1B","LDB3","AC034102.2","AL450345.1","FBLN2"
"18","LINC01303","GJB6","AC108002.3","ADAMTS16","AP003555.3","MME","AC243960.3","TMEM156","FXYD4","CARNS1","AC098587.1","FMO3"
"19","YAP1","ETNPPL","LINC01680","BTNL9","DRD5","TAC3","FCGR3A","CYTH4","POU2AF1","SH3TC2","AC104051.2","FERMT1"
"20","AC133785.1","VCAM1","AL450322.2","OXGR1","SP8","SFTA3","CASP1","CCL3","AC026316.5","MOBP","NEU4","SDC1"
