"Astro_1vAll","Astro_pw","Excit.1_1vAll","Excit.1_pw","Excit.2_1vAll","Excit.2_pw","Excit.3_1vAll","Excit.3_pw","Excit.4_1vAll","Excit.4_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Micro_1vAll","Micro_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"YAP1","FAM189A2","KIAA2012","GLP2R","ANO3","SLC6A7","GLIS1","MCTP1","CD36","DAPL1","NHS","MARCH11","IGF1","PCDH8","MYO1F","PTPRC","FA2H","EDIL3","SMOC1","LINC00511"
"SLC7A11","PITPNC1","KCNG3","KCNG3","GABRA5","AC246817.1","RBM20","NGEF","LINC01885","CD36","SNRPN","TENM3","KITLG","PROX1","PIK3R5","MYO1F","SLCO1A2","CERCAM","MIR3681HG","CACNG5"
"PAPLN","SLCO1C1","LZTS1","AL136985.3","DLGAP1-AS4","POU6F2","SEC24D","B3GLCT","FEZF2","CLIC5","OPRD1","NTN4","GAD1","LYPD6B","IKZF1","A2M","LINC01608","DOCK10","CALCRL","SEMA5A"
"SLC25A18","EYA2","LINC00507","AC138904.3","TCERG1L","SLC30A3","MSC-AS1","CEMIP2","SEMA3E","COL12A1","CDH9","CRHBP","NHS","IGF1","ATP8B4","PIK3R5","FOLH1","LPAR1","LINC00511","CA10"
"SPON1","SLC25A18","LINC00390","LINC01197","HTR2A","DNAH6","LINC01776","LINC02217","NR4A3","CYP26B1","MARCH11","KCNC2","ANKRD55","AP1S2","CPED1","IKZF1","PXK","DAAM2","LRRN1","ARHGAP42"
"HIF3A","SLC7A11","ZNF831","CA4","OCA2","AC084816.1","SDK2","SEMA3A","DIRAS2","AC022387.1","HUNK","ADCY8","THSD7B","RGS12","SAMSN1","ATP8B4","PRUNE2","POLR2F","CA10","NTNG1"
"MRVI1","PAPLN","AC019211.1","FAM19A1","NELL2","GABRA5","SLIT3","ZFPM2","CLIC5","CDH6","OSBPL10","AC027288.3","GRIP2","SYNPR","WDFY4","ARHGAP24","TMEM165","LINC01608","CACNG4","ZEB1"
"EYA1","YAP1","GRM1","NHSL2","CLSTN2","ADAMTS16","GALNT16","AQP4-AS1","TLL1","AC034226.1","NTN4","AC098864.1","C8orf34","THSD7A","LYN","CPED1","FRYL","ABCA8","CACNG5","AP005433.1"
"GLIS3","EYA1","AC138904.3","PPP4R4","SLC17A7","SLC22A10","LINC01793","PTK7","FAM160A1","MYOCD","FLT3","RAB3B","SYNPR","INHBA-AS1","RHBDF2","SAMSN1","SLC24A2","SLCO1A2","TEK","PXDN"
"EMX2OS","LINC00299","CUX2","AJ009632.2","CCDC144NL-AS1","FAM189A1","HS3ST2","MSC-AS1","TSHZ2","TLL1","VSTM2L","FBLN7","FGF13","AC079296.1","RBM47","LYN","SHTN1","SHROOM4","SPRY4","LHFPL3"
"TPD52L1","MRVI1","MCHR2","LINC02306","GCNT1","LINC01821","GALNT9","NOS1AP","NXPH2","MPP7","CPLX1","CDH9","KIAA1211","PDE3A","CD74","WDFY4","SIK3","CREB5","COL11A1","BCHE"
"LINC00299","CACHD1","CAMK2A","AC093607.1","SLIT1","ESR1","NPTX1","FRMPD4","CYP26B1","NXPH2","PTCHD4","EYS","AC079296.1","LRRC39","RGS10","CD74","COL4A5","PPP2R2B","BCAN","COL20A1"
"ACSS3","TPD52L1","SNED1","SYN3","KCNB2","CCDC3","AC107072.1","PRKAG2","DAPL1","EPS8L2","PNOC","NXPH1","VSTM2A","FGF13","ABCC4","RHBDF2","TTLL7","TMEM144","XYLT1","SPRY4"
"PDGFRB","EMX2OS","NHSL2","AC011287.1","DNAH6","NWD2","EPHA5","AC107072.1","VWC2L","VWC2L","GRIK1","CMTM8","FSTL5","ERBB4","ST6GAL1","ARHGAP15","LPAR1","ERBIN","COL20A1","PLEKHH2"
"SLC14A1","PHF21B","NGEF","KCNG1","SCHLAP1","LINC01830","PTK7","B4GALNT3","MPP7","NPSR1","SAMD5","KCNC1","SLC32A1","LYPD6","FGD2","RGS10","PDE8A","CLMN","TMEM163","IL1RAP"
"SHROOM3","PDGFRB","EPHA4","LINC01090","CCDC3","SYN2","BMPER","SEMA4A","SEMA5B","LINC00937","AL033504.1","MAFB","VWC2","SLCO5A1","RASGEF1C","CYFIP1","PCSK6","COL4A5","PRRX1","C1QL1"
"GNA14","SLC14A1","COL24A1","TESC","STX1A","AC018697.1","PCSK5","FRMD3","VWA2","PRR16","LRP8","KCNK3","LYPD6B","ARHGAP28","SP100","FGD2","SHROOM4","FOLH1","SEZ6L","ZNF462"
