"Astro_1vAll","Astro_pw","Excit.1_1vAll","Excit.1_pw","Excit.2_1vAll","Excit.2_pw","Excit.3_1vAll","Excit.3_pw","Excit.4_1vAll","Excit.4_pw","Excit.5_1vAll","Excit.5_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Inhib.3_1vAll","Inhib.3_pw","Inhib.4_1vAll","Inhib.4_pw","Inhib.5_1vAll","Inhib.5_pw","Micro_1vAll","Micro_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw","Tcell_1vAll","Tcell_pw"
"RNF219-AS1","RNF219-AS1","COL24A1","AC116345.1","PTGER3","PTGER3","LY86-AS1","BTNL9","AC109466.1","AC109466.1","FST","FST","NPFFR2","NPFFR2","LHX6","AL445623.2","CALB2","CALB2","NXPH2","RELN","TACR1","HTR7","DOCK8","ADAM28","ST18","ST18","MEGF11","AC004852.2","SKAP1","SKAP1"
"ADGRV1","ATP1A2","CLMP","COL24A1","AC008574.1","AC008574.1","BTNL9","BDNF","AC008415.1","AC008415.1","DCDC2C","PRSS12","AL359649.1","AC069133.1","TAC1","ELAVL2","DLX6-AS1","VIP","GAD2","BMP6","HTR7","AL356272.1","APBB1IP","SLCO2B1","CTNNA3","RNF220","LHFPL3","TNR","ITK","ITK"
"BMPR1B","GLIS3","AC116345.1","FNDC1","PALMD","DCSTAMP","BDNF","AC097487.1","LINC02143","LINC02217","PRSS12","DCDC2C","LINC01776","SLC35F4","ELAVL2","TAC1","VIP","SHISA8","SV2C","NDNF","HCRTR2","ANO1","ADAM28","SYK","RNF220","CTNNA3","AC004852.2","PTPRZ1","SLFN12L","SLFN12L"
"AQP4","GPC5","FNDC1","AC004160.2","DCSTAMP","LINC02346","AC097487.1","ADAMTS16","LINC02217","LINC02143","POSTN","POSTN","PRLR","LINC01776","ANK1","KCNT1","CNR1","CNR1","DLX6-AS1","NXPH2","AL356272.1","SFTA3","TBXAS1","ATP8B4","PLP1","PLP1","TNR","LHFPL3","IKZF3","IKZF3"
"RYR3","AQP4","PRKCG","COL5A2","LINC02346","AL136985.3","CNGB1","GRM1","AC008662.1","AC008662.1","SOX11","RSPO3","AC069133.1","LINC00390","AL445623.2","KCNC1","DLX1","SYNPR","RELN","FREM1","LHX6","HCRTR2","INPP5D","TBXAS1","MBP","ENPP2","MMP16","MEGF11","GRAP2","GRAP2"
"GLIS3","SLC1A2","ST8SIA2","CTXND1","AL136985.3","TRHR","ADAMTS16","AL591501.1","LINC01202","LINC01202","SLC17A6","LINC02254","GRM4","PRLR","GRIP2","ANK1","RGS8","ADRA1B","FRAS1","GAD2","SV2C","CDCA7","ATP8B4","CSF1R","ENPP2","QKI","SULF2","COL9A1","CCL5","CCL5"
"PAMR1","GLI3","IL12RB2","CLIC6","FSTL4","PALMD","GRM1","LY86-AS1","AC011900.1","COBLL1","RSPO3","SOX11","SV2C","LINC01580","MARCH11","SIAH3","GALNTL6","GPR149","BMP6","CPLX3","GAD2","COL4A1","SYK","LRMDA","SLC24A2","SLC44A1","PCDH15","PCDH15","TRAC","TRAC"
"GLI3","RFX4","AC004160.2","WIPF3","MLIP","AC011287.1","SLIT3","LINC02248","QRFPR","AC011900.1","LINC02254","SLC17A6","SLC35F4","DIRAS3","KCNT1","CACNA2D2","VWC2L","PTHLH","GRIP2","LINC00298","FGF13","RXFP1","FYB1","AC008691.1","SLC44A1","PLEKHH1","CA10","MMP16","STAT4","TC2N"
"ATP1A2","FAM189A2","WIPF3","KCNN2","TRHR","AL117190.2","AL591501.1","AJ006995.1","COBLL1","AL109930.1","CDH7","BHLHE22","PCDH11X","AL359649.1","SIAH3","TRIM67","BTBD11","RGS8","NYAP2","PCP4L1","LAMP5","TACR1","SLCO2B1","P2RY12","PLEKHH1","TMEM144","COL9A1","PDGFRA","TC2N","CD6"
"RFX4","RANBP3L","CABP1","PRKCG","MIR4435-2HG","SMIM36","MSC-AS1","CLSTN2","AL109930.1","DLGAP1-AS4","BHLHE22","CDH7","MRAP2","OTOF","KCNC2","MARCH11","SHISA8","NPAS1","FGF13","TRPC3","AL359649.1","MYB","CSF1R","ARHGAP24","TTLL7","PHLPP1","MYT1","MYT1","CD6","CD96"
"FAM189A2","ADGRV1","BX255923.2","HS3ST2","AL117190.2","LINC01484","TLL1","AC020637.1","DLGAP1-AS4","NEFL","IGSF3","AC022523.1","PCDH11Y","MRAP2","ZNF385D","CNTNAP3B","PTHLH","KMO","RPH3A","CBLN4","CDCA7","AL357793.1","HS3ST4","PALD1","MOBP","MOBP","NXPH1","SOX6","CD96","CD247"
"GPC5","PAMR1","COL5A2","THSD4","PTPRR","SEMA3D","ZMAT4","TARID","JCAD","JCAD","NRG1","NR2F2-AS1","DRD1","SIX3","KCNC1","LRP8","SYNPR","GLRA2","FREM1","AC005064.1","ZNF804B","LINC01344","AC008691.1","SRGAP2B","TMEM144","SLC24A2","VCAN","FERMT1","CD247","ITGA4"
"RANBP3L","HIF3A","DUSP4","STXBP5L","SLC17A6","MIR4435-2HG","SAMD3","JPH1","NEFL","QRFPR","NEUROD2","AP001636.3","FSTL4","DRD1","CPLX1","INPP5J","GPR149","FGD5","GRIN3A","PAPSS2","GRIN3A","LINC02082","P2RY12","CPED1","TF","KCNH8","LUZP2","SULF2","PYHIN1","PYHIN1"
"SPARCL1","ETNPPL","AC138904.3","CABP1","CDH9","CDH9","JPH1","CHRNA1","TESPA1","SLC38A11","AC022523.1","AC012409.2","OLFM3","PCDH11Y","GRIP1","SLC26A4","GLRA2","BTBD11","MPPED1","LINC02347","ANO1","CA3","SRGAP2B","BLNK","TMTC2","BCAS1","STK32A","MIR3681HG","ITGA4","LINC01934"
"AC002429.2","FGFR3","CCBE1","RIN1","AC011287.1","COL25A1","AC090568.2","TNNT2","RGS4","RASEF","SYT4","NEUROD2","NRG1","ST8SIA6","CHRM2","LHX6","ARL4C","HRH3","KIT","KIT","UNC5D","NPPC","DOCK2","HS3ST4","C10orf90","UGT8","PDGFRA","SMOC1","SCML4","STAT4"
"ETNPPL","AC002429.2","HS3ST2","CACNG8","TRPC4","SCN11A","CLSTN2","LINC02237","VWC2L","RGS4","AL390763.2","IGSF3","GRM8","SYT10","OSBPL10","ADCY8","HRH3","CRH","NRIP3","AC137770.1","SFTA3","CHST9","ARHGAP15","C3","MOG","DOCK5","DSCAM","LINC02588","LINC01934","THEMIS"
"PRKG1","SLC7A11","CTXND1","CLMP","GLRA3","CDH18","NELL2","COL6A3","NEUROD6","AC084816.1","LINC00923","LINC00923","LINC00390","AC233976.1","SRRM4","FLT3","CRH","CHRNA7","CBLN4","IL1RAPL2","COL4A1","ZNF804B","PALD1","LY86","DOCK5","TF","FERMT1","BCAN","ATP10A","ATP10A"
"ABLIM1","COL5A3","KCNN2","NELL1","MIR137HG","AC005162.3","PLXNA4","GRP","SLC38A11","GRM2","NR2F2-AS1","ISLR2","FRAS1","PCDH11X","HCN1","CRHBP","CHRM3","RASD2","RAB3C","CXCL14","RXFP1","SLCO5A1","BLNK","LPAR6","PRUNE2","C10orf90","GRIK1","LINC00511","THEMIS","SCML4"
"SLC1A2","EFEMP1","SYT5","FIBCD1","CDH18","SLC22A10","EPHA7","NTF3","GRM2","C1orf115","AP001636.3","CASC15","KCNH7","AC110023.1","RAB3B","AC010127.1","SCG2","SCG2","NDNF","TCIM","KCNC2","IGF2BP3","CPED1","CYFIP1","MAP7","MBP","CACNG4","ATP2C2","IQGAP2","PTPN22"
"SLC4A4","NHSL1","ST6GALNAC5","AC010230.1","ANKRD34C-AS1","MOXD1","C11orf87","PLXNA4","AC084816.1","ARNTL2-AS1","ADAMTS3","CYP1B1-AS1","SYT10","PBX3","MARCH4","NQO2","ENTPD3","NETO2","PRMT8","RAB3C","RPH3A","AP003555.3","ST6GAL1","CSF2RA","CERCAM","MOG","LINC02588","EPN2","PTPN22","RUNX3"
"MGAT4C","SLCO1C1","NDST3","DUSP4","CDH7","LINC00276","KIAA1211L","THOC3","Z99774.1","LOXHD1","ISLR2","ADAMTS3","ST8SIA6","SDK2","AC025809.1","SNCG","ADRA1B","ARHGAP28","CXCL14","MPPED1","NXPH2","CA1","LY86","CX3CR1","ZNF536","CLMN","AFAP1L2","KLHL1","RUNX3","IQGAP2"
"PITPNC1","SLC1A3","CACNG8","ST6GALNAC5","COL25A1","LINC01358","FAM153B","SLC47A1","MIR4500HG","AL596451.1","CASC15","NR2F2","GALNTL6","TMEM196","GAD2","HCN1","CCK","SLC22A3","KCNC2","GRIP2","SLCO5A1","GLT8D2","C3","DOCK8","FRMD5","CERCAM","SCN1A","NTN1","P2RY8","PRKCH"
"CACHD1","SLC25A18","ANKRD33B","IL12RB2","SYN2","ANKRD34C-AS1","KCNJ6","AL591518.1","TSHZ2","CRYM","GLRA3","AL390763.2","OTOF","FOXP2","MIR124-2HG","TENM3","PCDH8","RGS12","LINC02347","RIMBP2","EYA4","COL4A2","LPAR6","RASGEF1C","PDE1C","FA2H","BRINP3","PRRX1","CYTIP","CYTIP"
"FGFR3","ADGRA3","NWD2","DOK6","STAC","KCNG1","CDH9","TDO2","RASEF","OTOGL","GREM2","HSF2BP","MIR137HG","HS6ST2","GAD1","CKMT1B","KMO","ASIC2","PCP4L1","PRMT8","GRIP2","CA13","FLI1","A2M","CLMN","GAB1","COL11A1","AFAP1L2","SYNE2","P2RY8"
"SORBS1","GJA1","FIBCD1","MMP17","CHD5","AC073365.1","CHGB","ALDH1A2","CUX2","AC018709.1","MIR137HG","AC016766.1","VSNL1","LINC01951","DLGAP2","KCNAB3","FGD5","IGFBP5","TACR1","EGFR","GRIP1","AC103855.3","CX3CR1","ABCC4","UGT8","TMEM165","PTPRZ1","CSPG4","CXCR4","CXCR4"
"EFEMP1","YAP1","CAMK2A","KIRREL3-AS1","ZNF831","FP475955.1","NPTX1","AC134312.4","OLFM3","Z99774.1","AC012409.2","FBN3","NYAP2","LINC01284","SNRPN","MAP3K9","NETO2","PARM1","SERTM1","NYAP2","ZNF385D","TMEM255A","CD74","SRGAP2","MAN2A1","LPAR1","CALCRL","GALR1","MCTP2","CD69"
"COL5A3","ATP13A4","SPHKAP","SUSD4","LINC01484","CCKBR","HTR4","AC090568.2","C1orf115","KCNB2","NR2F2","NR2F1","DIRAS3","CPNE5","KIAA1217","KIF26B","GABRA1","THSD7A","PTCHD4","NRIP3","MTUS2","SORCS1","ARHGAP24","WDFY4","PIP4K2A","COL4A5","XYLT1","BRINP3","CD69","SYNE2"
"ZNRF3","LINC01748","STXBP5L","AL355974.2","ST6GALNAC5","TACR3","SPHKAP","TLL1","TUNAR","AC117944.1","RIT2","FIGN","LINC01580","GRM4","UNC5D","","SYNGR3","KCNT2","LAMP5","TOX3","CHST9","FBN2","PTPRC","AP003481.1","KCNH8","SHTN1","OPCML","AC124254.1","PRKCH","MCTP2"
"CPE","ACSS3","NEFM","SLC24A3","SMIM36","PTPRR","TMEM200A","INHBA-AS1","MLIP","RTN4R","EFNA5","MN1","KCNH5","GRM8","NRSN1","","CALY","B4GALT6","LINC00298","MYH11","SP9","CHRDL1","CYFIP1","CD74","SPOCK3","SLCO1A2","SLC35F1","DSCAM","HLA-B","HLA-B"
"SLC7A11","SORBS1","RIN1","LY6E-DT","SYN3","M1AP","MIR137HG","AC097467.3","MSC-AS1","PDYN","NNAT","GLRA3","UNC5D","RIMS2","AL033504.1","","SRRM4","CHRM3","GABRA1","NECAB2","AL357793.1","SP9","A2M","RBM47","IL1RAPL1","PRUNE2","TMEM132D","GFRA1","CCDC88C","PTPRC"
"HIF3A","SPARCL1","CELF5","RTN4RL1","LINC01250","SYN2","SLC17A7","ADRA1A","KCNH7","CUX2","ADGRL2","RIT2","GABRG3","EPHA6","AC087457.1","","CNTN4","PROX1","CCK","CYP3A5","COL4A2","MTUS2","ABCC4","APBB1IP","SEPT7","DAAM2","HECW1","SPRY4","ITGAL","ITGAL"
"SLCO1C1","WDR49","SUSD4","ALS2CR12","LINC01197","MIR222HG","AC139491.7","SLIT3","AL596451.1","GRB14","CYP1B1-AS1","CDH13","VSTM2A","TSHZ1","AC010127.1","","ROBO2","PLS1","PAPSS2","PDSS1","MYO16","FREM2","LRRK1","CSF3R","SHTN1","TTLL7","MIR3681HG","AGAP1","ETS1","LCP1"
