"","Astro","Astro_pt","Excit","Excit_pt","Inhib","Inhib_pt","Micro","Micro_pt","Oligo","Oligo_pt","OPC","OPC_pt","Tcell","Tcell_pt"
"1","SLC2A4","SLC2A4","EMX1","EMX1","NKX2-1","NKX2-1","AP000439.3","TREML1","FXYD4","FXYD4","AL445673.1","DCAF4L2","CD2","CD2"
"2","LINC01354","SIX5","KCNV1","KCNV1","LINC02488","PLSCR5","LINC01907","IL1A","PIP","PIP","DCAF4L2","GDF6","FCRL6","FCRL6"
"3","AC097518.1","OTX1","MS4A8","MS4A8","ZNF385D-AS2","CRH","TREML1","LILRB2","LYRM9","LYRM9","GDF6","KCNG4","GZMK","GZMK"
"4","AL109741.1","NFATC4","OR14I1","OR14I1","PLSCR5","SP8","LINC01645","ASCL4","AC009988.1","NGFR","KCNG4","NR0B1","UBASH3A","UBASH3A"
"5","SIX5","CYP4F11","LINC01332","DNAJC5G","CRH","DLX2","AC012150.2","FCGR1A","AC009704.1","TRPV6","NR0B1","CSPG4","TBX21","TBX21"
"6","AL138957.1","OTOS","DNAJC5G","GHSR","AP003555.1","LHX6","AF127936.1","TLR7","AC104417.2","SECISBP2L","AC010551.3","TIMP4","CD3D","CD3D"
"7","AC008250.1","TFAP2C","GHSR","GRM2","SP8","CHRNA2","IL1A","IL1B","LINC00279","SEPT7","AC016044.1","COL20A1","IL7R","IL7R"
"8","OTX1","TMEM200B","GRM2","KNCN","DLX2","DLX5","LILRB2","VSIG4","AC021915.1","IFNA6","AC005383.1","GPR17","SLAMF7","SLAMF7"
"9","AC013553.3","GDPD2","LINC00456","LRRC10B","LHX6","NKX6-3","ASCL4","ANKRD22","AC005329.3","FFAR1","AC008080.4","B3GNT7","SLAMF6","SLAMF6"
"10","NFATC4","RASL12","BX255923.2","SPANXN4","CHRNA2","HTR3A","FCGR1A","TLR8","PACRG-AS1","SMIM6","LINC00237","NEU4","TRAC","CD3E"
"11","AC009654.1","FOXC2","KNCN","P2RX2","DLX5","PRLHR","AC107892.1","CD300C","NGFR","TMEM88B","AC008742.1","PAX1","CD3E","GZMA"
"12","AL645608.1","APLNR","LRRC10B","SLC22A9","NKX6-3","EREG","TLR7","IL6","TRPV6","GPR62","CSPG4","KIF18B","GZMA","SLAMF1"
"13","CYP4F11","PYGM","AC104024.2","ADCYAP1","HTR3A","TRH","IL1B","KIR3DX1","KCNQ1DN","TMEM165","AL133465.1","EMILIN3","SLAMF1","IL2RB"
"14","LINC02266","IGFN1","SPANXN4","TH","PRLHR","DLX1","AC005082.1","NCF4","AC108721.1","MAN2A1","AL450345.1","GALR1","IL2RB","CCL4"
"15","OTOS","PRODH","LINC02153","OPN4","EREG","OR4D1","VSIG4","FCGR1B","AC084149.1","DLG1","TIMP4","FMO3","LINC00861","SLFN12L"
"16","TFAP2C","TBX2","AC097375.2","CARTPT","TRH","OPN5","LINC01468","TAL1","PCSK6-AS1","TRPV5","AL118505.1","CCKAR","CCL4","CD3G"
"17","AC109439.2","MT1G","AC025366.1","ALOX15","DLX1","GPR149","AC098679.1","OLR1","SECISBP2L","LAMP2","AC104051.2","HAS2","LINC01871","ACAP1"
"18","TMEM200B","MFAP4","AC012213.2","CNGB1","AC007463.1","SLC35D3","ANKRD22","LILRA4","LINC01222","CDC20","COL20A1","PDGFRA","SLFN12L","SKAP1"
"19","GDPD2","TRIM29","AC004817.4","GPR26","OR4D1","VIP","TLR8","CLN3","AL162391.1","HOXD1","GPR17","TM4SF1","CD3G","TIGIT"
"20","RASL12","S100A14","P2RX2","RPRML","OPN5","SP9","CD300C","TREM2","AL121656.1","CA14","ATXN8OS","KCTD14","ACAP1","CD8B"
