"","Astro","Astro_pt","Excit","Excit_pt","Inhib","Inhib_pt","Micro","Micro_pt","Oligo","Oligo_pt","OPC","OPC_pt"
"1","FCN2","FCN2","AL450322.1","IZUMO3","DLX2","DLX2","AC243960.3","CD7","AC008060.1","HSD17B3","AC016044.1","KCNG4"
"2","LINC02123","SLC2A4","AP001999.1","PRTN3","NKX2-1","NKX2-1","CD7","TOR4A","AC084149.1","AC034102.2","AL445673.1","FOXD2"
"3","SLC2A4","FHL5","AC016746.1","MLIP","AC004936.1","PLSCR5","TOR4A","CCR5","AL445470.1","CCP110","KCNG4","TM4SF1"
"4","AL109741.1","CERS1","LINC02263","OR2T2","PLSCR5","CHRNA2","CCR5","CCL3L1","HSD17B3","LPGAT1","FOXD2","SGCA"
"5","LINC01303","POU4F1","LINC01912","ADAD2","AC024337.2","GAD2","CCL3L1","LILRA1","LINC00251","AC026316.5","LINC02370","HTRA3"
"6","AC013553.3","AQP4","AC114912.1","LCN8","CHRNA2","NKX6-3","AC119428.2","GAPT","AC034102.2","CTNNA3","TM4SF1","HAS2"
"7","SLC39A12-AS1","GPAM","LINC01332","EMX1","GAD2","PRLHR","LILRA1","SRGN","CCP110","AC079594.2","SGCA","ACTL10"
"8","LINC01621","MT1H","AC097375.2","OR2T11","DLX6-AS1","EXOC1L","GAPT","LILRA4","AL645944.2","HHIP","AL118505.1","TSSK2"
"9","AP001363.2","RANBP3L","AC245164.1","OR8D4","NKX6-3","SLC6A2","SRGN","NCKAP1L","LPGAT1","CLDND1","AC104051.2","NR0B1"
"10","AC100791.3","GLUD1","LINC01903","CRYM","PRLHR","FCRL4","AC215217.1","MYO1F","AC026316.5","LRP2","HTRA3","COL20A1"
"11","FHL5","RASL12","Z73429.1","MSC","AC006974.2","SP9","Z98257.1","TNFSF10","AC073342.2","IFNA6","HAS2","DCAF4L2"
"12","RBPMS-AS1","SLC39A12","AL035691.1","OR10G4","EXOC1L","ANO1","LILRA4","MS4A14","CTNNA3","TP53TG5","LINC00566","CRISPLD2"
"13","AL132800.1","SLC14A1","AL158090.1","ADAMTS16","SLC6A2","SLC35D3","AC079988.1","CEBPE","AC079594.2","DMRT2","AC020763.1","GPR17"
"14","AL138957.1","P2RY2","TMEM212-AS1","FAM183A","LINC02192","NTF3","SENCR","FYB1","HHIP","TRIM59","ACTL10","GSX1"
"15","CERS1","EMP1","AC098483.1","C4orf54","FCRL4","OR2I1P","LINC00528","CCL3","AC009704.1","DNAH17","TSSK2","CPXM1"
"16","LINC01995","IGFN1","IZUMO3","TERT","SP9","GPR149","NCKAP1L","ERP27","CLDND1","OR9A2","AC005383.1","MDFI"
"17","AC091917.3","OTX1","AC067956.1","SLC22A10","AL118508.1","GOT1L1","AC005342.2","HOXC4","LRP2","RYBP","AP000696.1","SLPI"
"18","AC016405.3","TBX3","AC084365.1","OR14I1","ANO1","CER1","MYO1F","HLA-DMB","AL360013.2","PLCL1","NR0B1","TNK2"
"19","LINC01659","OTOS","PRTN3","IQCF3","AC078993.1","AREG","TNFSF10","VENTX","IFNA6","ANLN","AC015909.3","EMILIN3"
"20","POU4F1","SLC51B","AC068489.1","DRGX","AC025284.1","PROP1","MS4A14","LILRB5","AL121656.1","LDB3","AC008742.1","TIMP4"
