"Region","CellType","GWAS","Beta","P","P.adj.fdr"
"dlpfc","Astro","PGC2.SCZ",0.13785,0.0015658,0.0063757125748503
"dlpfc","Excit.L2.3","PGC2.SCZ",0.17209,1.4911e-09,3.37982666666667e-08
"dlpfc","Excit.L3.4","PGC2.SCZ",0.23335,7.6281e-14,2.43015e-11
"dlpfc","Excit.L4.5","PGC2.SCZ",0.14293,2.7351e-10,8.85651428571429e-09
"dlpfc","Excit.L5","PGC2.SCZ",0.18401,1.6592e-08,2.6238511627907e-07
"dlpfc","Excit.L5.6","PGC2.SCZ",0.17261,1.9475e-10,6.6215e-09
"dlpfc","Excit.L6.broad","PGC2.SCZ",0.17536,4.8003e-12,3.62689333333333e-10
"dlpfc","Excit.ambig","PGC2.SCZ",0.1608,3.2017e-10,9.46589565217391e-09
"dlpfc","Inhib.1","PGC2.SCZ",0.17533,0.014944,0.0350411034482759
"dlpfc","Inhib.2","PGC2.SCZ",0.081543,0.12134,0.167705691056911
"dlpfc","Inhib.3","PGC2.SCZ",0.24745,5.1291e-08,7.75064e-07
"dlpfc","Inhib.4","PGC2.SCZ",0.14581,4.528e-09,8.32172972972973e-08
"dlpfc","Inhib.5","PGC2.SCZ",0.22271,3.1633e-11,1.26532e-09
"dlpfc","Inhib.6","PGC2.SCZ",0.2066,1.1635e-13,2.43015e-11
"dlpfc","Micro","PGC2.SCZ",0.052744,0.13095,0.178092
"dlpfc","OPC","PGC2.SCZ",0.20663,4.0986e-08,6.3342e-07
"dlpfc","Oligo","PGC2.SCZ",0.23867,1.2163e-09,2.85201379310345e-08
"sacc","Astro.1","PGC2.SCZ",0.15556,7.2478e-05,0.000487970693069307
"sacc","Excit.1","PGC2.SCZ",0.14243,3.0552e-14,2.077536e-11
"sacc","Excit.2","PGC2.SCZ",0.13093,9.565e-12,4.64585714285714e-10
"sacc","Excit.3","PGC2.SCZ",0.11126,6.0895e-07,7.52883636363636e-06
"sacc","Excit.4","PGC2.SCZ",0.13164,2.1294e-07,3.01665e-06
"sacc","Inhib.1.1","PGC2.SCZ",0.1226,1.9377e-09,4.1176125e-08
"sacc","Inhib.2.1","PGC2.SCZ",0.15461,1.5808e-12,1.34368e-10
"sacc","Micro.1","PGC2.SCZ",0.070372,0.053262,0.0903942144638404
