"Region","CellType","GWAS","Beta","P","P.adj.fdr"
"hpc","OPC.2","PGC2.SCZ",0.11923,2.9447e-08,1.05389263157895e-06
"hpc","Oligo.2","PGC2.SCZ",0.082397,0.00018694,0.00171782702702703
"hpc","Tcell","PGC2.SCZ",0.035046,0.17532,0.254195309168443
"nac","Astro.3","PGC2.SCZ",0.019317,0.16842,0.245763090128755
"nac","Inhib.1.3","PGC2.SCZ",0.090316,0.018128,0.0509381818181818
"nac","Inhib.2.3","PGC2.SCZ",0.12985,0.0002964,0.0024882962962963
"nac","Inhib.3.2","PGC2.SCZ",0.055677,0.0038344,0.0172573333333333
"nac","Inhib.4.2","PGC2.SCZ",0.038819,0.034214,0.0804076712328767
"nac","MSN.D1.1","PGC2.SCZ",0.117,0.0013296,0.00772758974358974
"nac","MSN.D1.2","PGC2.SCZ",0.07342,0.0068916,0.0272494186046512
"nac","MSN.D1.3","PGC2.SCZ",0.11223,6.7732e-05,0.000767629333333333
"nac","MSN.D1.4","PGC2.SCZ",0.085888,3.8193e-06,7.01925405405405e-05
"nac","MSN.D2.1","PGC2.SCZ",0.17128,4.578e-08,1.4824e-06
"nac","MSN.D2.2","PGC2.SCZ",0.11233,5.1552e-06,8.98855384615385e-05
"nac","Micro.3","PGC2.SCZ",-0.010506,0.6792,0.730784810126582
"nac","OPC.3","PGC2.SCZ",0.12487,2.0844e-07,5.45150769230769e-06
"nac","Oligo.3","PGC2.SCZ",0.10597,3.6787e-05,0.000463243703703704
"amy","Astro.4","PGC2.SCZ",0.027853,0.07981,0.147028864864865
"amy","Excit.1.2","PGC2.SCZ",0.072145,5.5454e-06,9.42718e-05
"amy","Excit.2.2","PGC2.SCZ",0.10054,0.00015504,0.00150610285714286
"amy","Excit.3.2","PGC2.SCZ",0.083167,0.00032369,0.00258952
"amy","Inhib.1.4","PGC2.SCZ",0.12182,2.7477e-11,3.50404e-09
"amy","Inhib.2.4","PGC2.SCZ",0.14592,2.077e-12,7.97266e-10
"amy","Inhib.3.3","PGC2.SCZ",0.15897,6.9918e-08,2.16110181818182e-06
"amy","Inhib.4.3","PGC2.SCZ",0.20772,3.4793e-09,1.97160333333333e-07
"amy","Inhib.5.2","PGC2.SCZ",0.13478,1.0907e-09,7.41676e-08
"amy","Micro.4","PGC2.SCZ",0.014825,0.24347,0.318501538461538
"amy","OPC.4","PGC2.SCZ",0.1281,9.7877e-09,4.1597725e-07
"amy","Oligo.4","PGC2.SCZ",0.091741,9.7461e-05,0.000989156417910448
"dlpfc","Astro","PGC.ASD",0.016463,0.18787,0.266149166666667
"dlpfc","Excit.L2.3","PGC.ASD",-0.023282,0.88656,0.91899512195122
"dlpfc","Excit.L3.4","PGC.ASD",-0.0016036,0.52742,0.598740567612688
"dlpfc","Excit.L4.5","PGC.ASD",-0.0032304,0.58301,0.646732137030995
"dlpfc","Excit.L5","PGC.ASD",0.050596,0.01438,0.0444472727272727
"dlpfc","Excit.L5.6","PGC.ASD",-0.0011048,0.52304,0.595614046822742
"dlpfc","Excit.L6.broad","PGC.ASD",0.021461,0.1197,0.195663461538462
"dlpfc","Excit.ambig","PGC.ASD",0.0024919,0.44284,0.516520068610635
"dlpfc","Inhib.1","PGC.ASD",0.0078368,0.43645,0.510819277108434
"dlpfc","Inhib.2","PGC.ASD",0.0048088,0.45616,0.530237264957265
"dlpfc","Inhib.3","PGC.ASD",0.021267,0.25938,0.332789433962264
"dlpfc","Inhib.4","PGC.ASD",0.019326,0.13629,0.212075972540046
"dlpfc","Inhib.5","PGC.ASD",0.031863,0.058853,0.117706
"dlpfc","Inhib.6","PGC.ASD",0.023577,0.094957,0.163885177664975
"dlpfc","Micro","PGC.ASD",-0.0051249,0.60366,0.666863636363636
"dlpfc","OPC","PGC.ASD",0.041552,0.026448,0.0671068656716418
"dlpfc","Oligo","PGC.ASD",0.047821,0.016431,0.0483181034482759
"sacc","Astro.1","PGC.ASD",0.016197,0.19756,0.276991340206186
"sacc","Excit.1","PGC.ASD",0.010397,0.21227,0.288110978043912
"sacc","Excit.2","PGC.ASD",-0.0027869,0.58199,0.646655555555556
"sacc","Excit.3","PGC.ASD",-0.019257,0.8797,0.914672782874618
"sacc","Excit.4","PGC.ASD",0.0052751,0.3883,0.466508833922262
"sacc","Inhib.1.1","PGC.ASD",0.016557,0.11801,0.19336578313253
"sacc","Inhib.2.1","PGC.ASD",0.016516,0.13189,0.209044651162791
"sacc","Micro.1","PGC.ASD",-0.0054112,0.61483,0.675218064516129
"sacc","OPC.1","PGC.ASD",0.027161,0.094829,0.163885177664975
"sacc","Oligo.1","PGC.ASD",0.053718,0.0072981,0.0283548474576271
"hpc","Astro.2","PGC.ASD",-0.00092837,0.52379,0.595614046822742
"hpc","Excit.1.1","PGC.ASD",0.017274,0.17708,0.25541779661017
"hpc","Excit.2.1","PGC.ASD",0.0014943,0.46591,0.53972538330494
"hpc","Excit.3.1","PGC.ASD",-0.0043543,0.62067,0.679638647342995
"hpc","Excit.4.1","PGC.ASD",0.01436,0.25166,0.326322285714286
"hpc","Excit.5","PGC.ASD",0.0057933,0.41386,0.487737954939341
"hpc","Inhib.1.2","PGC.ASD",-0.0034416,0.55389,0.619482236842105
"hpc","Inhib.2.2","PGC.ASD",0.014961,0.22649,0.301986666666667
"hpc","Inhib.3.1","PGC.ASD",0.014365,0.19973,0.279457613168724
"hpc","Inhib.4.1","PGC.ASD",0.040943,0.034971,0.0811613651877133
"hpc","Inhib.5.1","PGC.ASD",0.018792,0.20233,0.280784489795918
"hpc","Micro.2","PGC.ASD",-0.0044619,0.6099,0.671087378640777
"hpc","OPC.2","PGC.ASD",0.05862,0.0006749,0.00463567676767677
"hpc","Oligo.2","PGC.ASD",0.060949,0.00074876,0.005091568
"hpc","Tcell","PGC.ASD",-0.0040331,0.55349,0.619482236842105
"nac","Astro.3","PGC.ASD",0.011909,0.23363,0.309082490272374
"nac","Inhib.1.3","PGC.ASD",0.025171,0.24058,0.317043410852713
"nac","Inhib.2.3","PGC.ASD",0.070298,0.01271,0.0405765258215962
"nac","Inhib.3.2","PGC.ASD",0.030451,0.03831,0.0856111111111111
"nac","Inhib.4.2","PGC.ASD",0.02119,0.11729,0.192650241545894
"nac","MSN.D1.1","PGC.ASD",0.041074,0.10454,0.17425
"nac","MSN.D1.2","PGC.ASD",0.043442,0.038487,0.0856111111111111
"nac","MSN.D1.3","PGC.ASD",0.078726,0.00055585,0.00402104255319149
"nac","MSN.D1.4","PGC.ASD",-0.0016862,0.54243,0.610682781456954
"nac","MSN.D2.1","PGC.ASD",0.054749,0.019146,0.0527757085020243
"nac","MSN.D2.2","PGC.ASD",0.0066737,0.37567,0.454547330960854
"nac","Micro.3","PGC.ASD",-0.023638,0.89906,0.929119756838906
"nac","OPC.3","PGC.ASD",0.06453,0.00077619,0.005211
"nac","Oligo.3","PGC.ASD",0.038565,0.040842,0.0901706493506494
"amy","Astro.4","PGC.ASD",0.0083132,0.30288,0.37999704797048
"amy","Excit.1.2","PGC.ASD",0.00044077,0.48693,0.561207457627119
"amy","Excit.2.2","PGC.ASD",0.032913,0.077216,0.14308719346049
"amy","Excit.3.2","PGC.ASD",-0.010169,0.69481,0.741712401883831
"amy","Inhib.1.4","PGC.ASD",0.003696,0.40472,0.479459233449477
"amy","Inhib.2.4","PGC.ASD",0.02242,0.10058,0.170135323383085
"amy","Inhib.3.3","PGC.ASD",-0.00184,0.52945,0.599938768718802
"amy","Inhib.4.3","PGC.ASD",0.037644,0.10667,0.176916097560976
"amy","Inhib.5.2","PGC.ASD",3.2289e-05,0.49932,0.572576053962901
"amy","Micro.4","PGC.ASD",-0.0045982,0.6041,0.666863636363636
"amy","OPC.4","PGC.ASD",0.044274,0.00936,0.0332449166666667
"amy","Oligo.4","PGC.ASD",0.045368,0.013705,0.0429465437788018
"dlpfc","Astro","PGC.BIP",0.019368,0.16724,0.244566021505376
"dlpfc","Excit.L2.3","PGC.BIP",0.071605,0.00022963,0.00205458421052632
"dlpfc","Excit.L3.4","PGC.BIP",0.076428,0.0011194,0.0069834128440367
"dlpfc","Excit.L4.5","PGC.BIP",0.064022,5.279e-05,0.00061891724137931
"dlpfc","Excit.L5","PGC.BIP",0.064081,0.0051403,0.0220029182389937
"dlpfc","Excit.L5.6","PGC.BIP",0.075287,0.00010076,0.0010076
"dlpfc","Excit.L6.broad","PGC.BIP",0.096554,4.1692e-07,9.77605517241379e-06
"dlpfc","Excit.ambig","PGC.BIP",0.08416,2.8301e-06,5.34574444444444e-05
"dlpfc","Inhib.1","PGC.BIP",0.068908,0.094131,0.163288469387755
"dlpfc","Inhib.2","PGC.BIP",0.12553,0.0033195,0.0156754166666667
"dlpfc","Inhib.3","PGC.BIP",0.057362,0.050692,0.104773738601824
"dlpfc","Inhib.4","PGC.BIP",0.063067,0.00035855,0.00277061363636364
"dlpfc","Inhib.5","PGC.BIP",0.071225,0.00059002,0.00417930833333333
"dlpfc","Inhib.6","PGC.BIP",0.053375,0.002797,0.0134890780141844
"dlpfc","Micro","PGC.BIP",-0.0099933,0.68566,0.735408201892744
"dlpfc","OPC","PGC.BIP",0.079111,0.00027615,0.00237698734177215
"dlpfc","Oligo","PGC.BIP",0.053935,0.011529,0.0388710891089109
"sacc","Astro.1","PGC.BIP",0.01879,0.17823,0.255932489451477
"sacc","Excit.1","PGC.BIP",0.064332,2.0085e-06,4.13872727272727e-05
"sacc","Excit.2","PGC.BIP",0.073384,1.5106e-07,4.108832e-06
"sacc","Excit.3","PGC.BIP",0.062834,0.00017084,0.00161348888888889
"sacc","Excit.4","PGC.BIP",0.046846,0.0088178,0.0319211428571429
"sacc","Inhib.1.1","PGC.BIP",0.056131,8.1122e-05,0.000875574375
"sacc","Inhib.2.1","PGC.BIP",0.068522,7.4787e-06,0.000118267813953488
"sacc","Micro.1","PGC.BIP",-0.0080882,0.65876,0.713307006369427
"sacc","OPC.1","PGC.BIP",0.069126,0.00078165,0.005211
"sacc","Oligo.1","PGC.BIP",0.048251,0.019098,0.0527757085020243
"hpc","Astro.2","PGC.BIP",0.024784,0.068315,0.129252888888889
"hpc","Excit.1.1","PGC.BIP",0.076547,6.3998e-05,0.00073760406779661
"hpc","Excit.2.1","PGC.BIP",0.078333,1.4376e-05,0.000217237333333333
"hpc","Excit.3.1","PGC.BIP",0.046472,0.0011659,0.00714245045045045
"hpc","Excit.4.1","PGC.BIP",0.077763,0.00030481,0.00252769268292683
"hpc","Excit.5","PGC.BIP",0.10722,7.7057e-05,0.000858996065573771
"hpc","Inhib.1.2","PGC.BIP",0.1025,8.3821e-05,0.000876896615384615
"hpc","Inhib.2.2","PGC.BIP",0.074251,0.00023956,0.00211559480519481
"hpc","Inhib.3.1","PGC.BIP",0.071915,4.5673e-05,0.000563195087719298
"hpc","Inhib.4.1","PGC.BIP",0.083463,0.00032337,0.00258952
"hpc","Inhib.5.1","PGC.BIP",0.1043,6.7936e-06,0.000109991619047619
"hpc","Micro.2","PGC.BIP",-0.0050644,0.61564,0.675218064516129
"hpc","OPC.2","PGC.BIP",0.065629,0.0003572,0.00277061363636364
"hpc","Oligo.2","PGC.BIP",0.050586,0.0063013,0.0253543431952663
"hpc","Tcell","PGC.BIP",0.010725,0.3689,0.44795
"nac","Astro.3","PGC.BIP",0.01716,0.16354,0.242281481481481
"nac","Inhib.1.3","PGC.BIP",0.081513,0.015327,0.0461166371681416
"nac","Inhib.2.3","PGC.BIP",0.085591,0.0056809,0.0238457530864198
"nac","Inhib.3.2","PGC.BIP",0.016753,0.18003,0.257185714285714
"nac","Inhib.4.2","PGC.BIP",0.043712,0.009946,0.0346834871794872
"nac","MSN.D1.1","PGC.BIP",0.079665,0.011547,0.0388710891089109
"nac","MSN.D1.2","PGC.BIP",0.033042,0.10171,0.170772345679012
"nac","MSN.D1.3","PGC.BIP",0.12968,2.9437e-07,7.14898571428571e-06
"nac","MSN.D1.4","PGC.BIP",0.035903,0.01678,0.0489716738197425
"nac","MSN.D2.1","PGC.BIP",0.11492,2.0262e-05,0.0002755632
"nac","MSN.D2.2","PGC.BIP",0.03698,0.049255,0.103069169230769
"nac","Micro.3","PGC.BIP",-0.029836,0.93576,0.95868734939759
"nac","OPC.3","PGC.BIP",0.059517,0.00307,0.0145986013986014
"nac","Oligo.3","PGC.BIP",0.056418,0.0083286,0.0312897679558011
"amy","Astro.4","PGC.BIP",0.038789,0.012392,0.0401264761904762
"amy","Excit.1.2","PGC.BIP",0.04849,0.00041916,0.00320257078651685
"amy","Excit.2.2","PGC.BIP",0.054967,0.012112,0.0399524637681159
"amy","Excit.3.2","PGC.BIP",0.0675,0.00093175,0.00603419047619048
"amy","Inhib.1.4","PGC.BIP",0.066042,3.028e-05,0.000395969230769231
"amy","Inhib.2.4","PGC.BIP",0.061853,0.00050101,0.00370311739130435
"amy","Inhib.3.3","PGC.BIP",0.051432,0.027427,0.0690625
"amy","Inhib.4.3","PGC.BIP",0.052015,0.056133,0.113265400593472
"amy","Inhib.5.2","PGC.BIP",0.070052,0.00024274,0.00211619487179487
"amy","Micro.4","PGC.BIP",-0.0061668,0.63072,0.688993900481541
"amy","OPC.4","PGC.BIP",0.078724,4.7209e-05,0.000563195087719298
"amy","Oligo.4","PGC.BIP",0.043287,0.023352,0.0608404597701149
"dlpfc","Astro","PGC.MDD",0.021571,0.13327,0.209776851851852
"dlpfc","Excit.L2.3","PGC.MDD",0.012266,0.26873,0.342845028142589
"dlpfc","Excit.L3.4","PGC.MDD",0.084561,0.00028336,0.00240856
"dlpfc","Excit.L4.5","PGC.MDD",0.03833,0.0088361,0.0319211428571429
"dlpfc","Excit.L5","PGC.MDD",0.012256,0.30611,0.382434495412844
"dlpfc","Excit.L5.6","PGC.MDD",0.015642,0.21651,0.292413465346535
"dlpfc","Excit.L6.broad","PGC.MDD",0.040091,0.017575,0.0502628571428571
"dlpfc","Excit.ambig","PGC.MDD",0.020698,0.12705,0.203759433962264
"dlpfc","Inhib.1","PGC.MDD",0.07027,0.079695,0.147028864864865
"dlpfc","Inhib.2","PGC.MDD",0.026573,0.28315,0.359891588785047
"dlpfc","Inhib.3","PGC.MDD",0.056184,0.047583,0.101430846394984
"dlpfc","Inhib.4","PGC.MDD",0.025223,0.08167,0.148814545454545
"dlpfc","Inhib.5","PGC.MDD",0.026348,0.10516,0.174838141809291
"dlpfc","Inhib.6","PGC.MDD",0.042632,0.011445,0.0388710891089109
"dlpfc","Micro","PGC.MDD",-0.014092,0.75544,0.797669565217391
"dlpfc","OPC","PGC.MDD",0.042907,0.027625,0.0690625
"dlpfc","Oligo","PGC.MDD",0.00014304,0.49753,0.571487162162162
"sacc","Astro.1","PGC.MDD",0.019894,0.15641,0.234525438596491
"sacc","Excit.1","PGC.MDD",0.035923,0.0040794,0.0180129350649351
"sacc","Excit.2","PGC.MDD",0.036212,0.0048082,0.0209353375796178
"sacc","Excit.3","PGC.MDD",0.022262,0.097345,0.166721306532663
"sacc","Excit.4","PGC.MDD",-0.012123,0.73479,0.780714375
"sacc","Inhib.1.1","PGC.MDD",0.019402,0.09067,0.160561458333333
"sacc","Inhib.2.1","PGC.MDD",0.034316,0.011962,0.0397484878048781
"sacc","Micro.1","PGC.MDD",-0.0090306,0.67898,0.730784810126582
"sacc","OPC.1","PGC.MDD",0.060836,0.0023932,0.012054637037037
"sacc","Oligo.1","PGC.MDD",-0.0040637,0.57165,0.636206219312602
"hpc","Astro.2","PGC.MDD",0.0018126,0.45544,0.530237264957265
"hpc","Excit.1.1","PGC.MDD",0.02466,0.10118,0.170387128712871
"hpc","Excit.2.1","PGC.MDD",0.0092137,0.30651,0.382434495412844
"hpc","Excit.3.1","PGC.MDD",0.012413,0.20152,0.280719018404908
"hpc","Excit.4.1","PGC.MDD",0.049882,0.012162,0.0399524637681159
"hpc","Excit.5","PGC.MDD",0.083085,0.0012908,0.00758493103448276
"hpc","Inhib.1.2","PGC.MDD",0.05666,0.016302,0.0481972173913043
"hpc","Inhib.2.2","PGC.MDD",0.016051,0.21679,0.292413465346535
"hpc","Inhib.3.1","PGC.MDD",0.04357,0.0073806,0.0283548474576271
"hpc","Inhib.4.1","PGC.MDD",0.051946,0.013354,0.0420403703703704
"hpc","Inhib.5.1","PGC.MDD",0.038262,0.049998,0.103654390243902
"hpc","Micro.2","PGC.MDD",0.0057869,0.36499,0.443994991055456
"hpc","OPC.2","PGC.MDD",0.051317,0.0034165,0.0159124657534247
"hpc","Oligo.2","PGC.MDD",0.025315,0.098835,0.168440601503759
"hpc","Tcell","PGC.MDD",-0.048273,0.93865,0.959822556390977
"nac","Astro.3","PGC.MDD",0.023574,0.08135,0.148814545454545
"nac","Inhib.1.3","PGC.MDD",0.0029108,0.46885,0.542207482993197
"nac","Inhib.2.3","PGC.MDD",-0.0041276,0.55,0.617161716171617
"nac","Inhib.3.2","PGC.MDD",0.022777,0.099871,0.1697807
"nac","Inhib.4.2","PGC.MDD",0.04165,0.011944,0.0397484878048781
"nac","MSN.D1.1","PGC.MDD",0.028528,0.20164,0.280719018404908
"nac","MSN.D1.2","PGC.MDD",0.011928,0.32021,0.397340875912409
"nac","MSN.D1.3","PGC.MDD",0.073297,0.0017302,0.0094881935483871
"nac","MSN.D1.4","PGC.MDD",0.020985,0.10307,0.172629556650246
"nac","MSN.D2.1","PGC.MDD",0.067159,0.0070161,0.0275087356321839
"nac","MSN.D2.2","PGC.MDD",0.019258,0.19164,0.270363485477178
"nac","Micro.3","PGC.MDD",-0.0094807,0.68957,0.738437165354331
"nac","OPC.3","PGC.MDD",0.030428,0.075067,0.140621377410468
"nac","Oligo.3","PGC.MDD",0.0088044,0.35001,0.428841081081081
"amy","Astro.4","PGC.MDD",0.02184,0.096271,0.16573235443038
"amy","Excit.1.2","PGC.MDD",0.019051,0.08694,0.156331820580475
"amy","Excit.2.2","PGC.MDD",0.032307,0.089454,0.159237486910995
"amy","Excit.3.2","PGC.MDD",0.026003,0.10787,0.17847104622871
"amy","Inhib.1.4","PGC.MDD",0.02557,0.053828,0.110250120481928
"amy","Inhib.2.4","PGC.MDD",0.043074,0.0088251,0.0319211428571429
"amy","Inhib.3.3","PGC.MDD",0.032576,0.10455,0.17425
"amy","Inhib.4.3","PGC.MDD",0.014038,0.32704,0.404340363636364
"amy","Inhib.5.2","PGC.MDD",0.02839,0.072835,0.136817127071823
"amy","Micro.4","PGC.MDD",-0.0006356,0.51387,0.586294630872483
"amy","OPC.4","PGC.MDD",0.048185,0.0067446,0.0269784
"amy","Oligo.4","PGC.MDD",0.007555,0.35907,0.437576344086021
"dlpfc","Astro","PGCFr2.PTSD",0.0059158,0.38157,0.460048936170213
"dlpfc","Excit.L2.3","PGCFr2.PTSD",0.035575,0.034251,0.0804076712328767
"dlpfc","Excit.L3.4","PGCFr2.PTSD",0.041664,0.036707,0.0832025333333333
"dlpfc","Excit.L4.5","PGCFr2.PTSD",-0.00038743,0.50975,0.582571428571429
"dlpfc","Excit.L5","PGCFr2.PTSD",0.036441,0.059862,0.118676851311953
"dlpfc","Excit.L5.6","PGCFr2.PTSD",0.033107,0.042993,0.0937026923076923
"dlpfc","Excit.L6.broad","PGCFr2.PTSD",0.048463,0.0048336,0.0209353375796178
"dlpfc","Excit.ambig","PGCFr2.PTSD",0.019899,0.13083,0.207860747663551
"dlpfc","Inhib.1","PGCFr2.PTSD",0.026974,0.29554,0.372127171903882
"dlpfc","Inhib.2","PGCFr2.PTSD",0.036573,0.20897,0.285914688128773
"dlpfc","Inhib.3","PGCFr2.PTSD",0.057422,0.042924,0.0937026923076923
"dlpfc","Inhib.4","PGCFr2.PTSD",-0.0089489,0.69126,0.739083018867924
"dlpfc","Inhib.5","PGCFr2.PTSD",0.017278,0.2065,0.284251012145749
"dlpfc","Inhib.6","PGCFr2.PTSD",0.03311,0.036055,0.0822731543624161
"dlpfc","Micro","PGCFr2.PTSD",0.01733,0.19563,0.274852066115702
"dlpfc","OPC","PGCFr2.PTSD",0.029328,0.088303,0.158015894736842
"dlpfc","Oligo","PGCFr2.PTSD",0.063226,0.0035806,0.0163409932885906
"sacc","Astro.1","PGCFr2.PTSD",0.018023,0.18,0.257185714285714
"sacc","Excit.1","PGCFr2.PTSD",0.039043,0.0017134,0.0094881935483871
"sacc","Excit.2","PGCFr2.PTSD",0.023792,0.04392,0.0951133757961783
"sacc","Excit.3","PGCFr2.PTSD",0.023698,0.080001,0.147028864864865
"sacc","Excit.4","PGCFr2.PTSD",0.022532,0.11625,0.191404358353511
"sacc","Inhib.1.1","PGCFr2.PTSD",0.014056,0.16716,0.244566021505376
"sacc","Inhib.2.1","PGCFr2.PTSD",0.013804,0.18585,0.263837160751566
"sacc","Micro.1","PGCFr2.PTSD",0.0050595,0.39709,0.473582486865149
"sacc","OPC.1","PGCFr2.PTSD",0.021779,0.14975,0.227299107142857
"sacc","Oligo.1","PGCFr2.PTSD",0.035261,0.063526,0.123472457142857
"hpc","Astro.2","PGCFr2.PTSD",0.011342,0.24356,0.318501538461538
"hpc","Excit.1.1","PGCFr2.PTSD",0.038276,0.02234,0.0600442687747036
"hpc","Excit.2.1","PGCFr2.PTSD",0.033179,0.031945,0.0775807142857143
"hpc","Excit.3.1","PGCFr2.PTSD",0.03163,0.015407,0.046153127753304
"hpc","Excit.4.1","PGCFr2.PTSD",-0.0002892,0.50528,0.578435016835017
"hpc","Excit.5","PGCFr2.PTSD",0.046206,0.04455,0.0961714285714286
"hpc","Inhib.1.2","PGCFr2.PTSD",0.029198,0.13366,0.209904849884527
"hpc","Inhib.2.2","PGCFr2.PTSD",0.016721,0.20646,0.284251012145749
"hpc","Inhib.3.1","PGCFr2.PTSD",0.013185,0.22794,0.3027328125
"hpc","Inhib.4.1","PGCFr2.PTSD",0.046696,0.022605,0.06017203125
"hpc","Inhib.5.1","PGCFr2.PTSD",0.067663,0.0015284,0.00866093333333333
"hpc","Micro.2","PGCFr2.PTSD",0.018575,0.13469,0.211035023041475
"hpc","OPC.2","PGCFr2.PTSD",0.028213,0.06472,0.124320903954802
"hpc","Oligo.2","PGCFr2.PTSD",0.047492,0.0093868,0.0332449166666667
"hpc","Tcell","PGCFr2.PTSD",-0.016588,0.70838,0.755013166144201
"nac","Astro.3","PGCFr2.PTSD",0.017399,0.15279,0.230370731707317
"nac","Inhib.1.3","PGCFr2.PTSD",0.086973,0.0084156,0.0314429010989011
"nac","Inhib.2.3","PGCFr2.PTSD",0.067553,0.016941,0.0492302564102564
"nac","Inhib.3.2","PGCFr2.PTSD",0.037007,0.0187,0.0521872131147541
"nac","Inhib.4.2","PGCFr2.PTSD",0.048835,0.0037616,0.0170525866666667
"nac","MSN.D1.1","PGCFr2.PTSD",0.078306,0.010076,0.0349575510204082
"nac","MSN.D1.2","PGCFr2.PTSD",0.010894,0.33315,0.410402173913043
"nac","MSN.D1.3","PGCFr2.PTSD",0.050015,0.020898,0.05684256
"nac","MSN.D1.4","PGCFr2.PTSD",-0.0027111,0.566,0.630950819672131
"nac","MSN.D2.1","PGCFr2.PTSD",0.074064,0.00245,0.01225
"nac","MSN.D2.2","PGCFr2.PTSD",0.032998,0.06022,0.119039534883721
"nac","Micro.3","PGCFr2.PTSD",0.020346,0.14431,0.221514221218962
"nac","OPC.3","PGCFr2.PTSD",0.020672,0.1572,0.234525438596491
"nac","Oligo.3","PGCFr2.PTSD",0.051,0.014664,0.045027027027027
"amy","Astro.4","PGCFr2.PTSD",0.028386,0.0468,0.100075471698113
"amy","Excit.1.2","PGCFr2.PTSD",0.031865,0.011538,0.0388710891089109
"amy","Excit.2.2","PGCFr2.PTSD",0.032146,0.086052,0.155213156498674
"amy","Excit.3.2","PGCFr2.PTSD",0.015205,0.22864,0.303070565302144
"amy","Inhib.1.4","PGCFr2.PTSD",0.0048074,0.38111,0.460048936170213
"amy","Inhib.2.4","PGCFr2.PTSD",0.018645,0.15177,0.229341333333333
"amy","Inhib.3.3","PGCFr2.PTSD",0.047617,0.032699,0.0788486524822695
"amy","Inhib.4.3","PGCFr2.PTSD",0.022067,0.24169,0.317890135396518
"amy","Inhib.5.2","PGCFr2.PTSD",0.042213,0.01413,0.0440752293577982
"amy","Micro.4","PGCFr2.PTSD",0.012513,0.24495,0.319704414587332
"amy","OPC.4","PGCFr2.PTSD",0.014372,0.22715,0.30227397260274
