"Region","CellType","GWAS","Beta","P","P.adj.fdr"
"dlpfc","Astro","PGC2.SCZ",0.0084499,0.35771,0.436701615798923
"dlpfc","Excit.L2.3","PGC2.SCZ",0.10525,2.6835e-06,5.21365714285714e-05
"dlpfc","Excit.L3.4","PGC2.SCZ",0.18402,3.0918e-11,3.50404e-09
"dlpfc","Excit.L4.5","PGC2.SCZ",0.10336,1.4769e-08,5.9076e-07
"dlpfc","Excit.L5","PGC2.SCZ",0.12846,2.3153e-06,4.6306e-05
"dlpfc","Excit.L5.6","PGC2.SCZ",0.11845,1.0205e-07,3.01713043478261e-06
"dlpfc","Excit.L6.broad","PGC2.SCZ",0.13682,3.5157e-10,2.988345e-08
"dlpfc","Excit.ambig","PGC2.SCZ",0.1079,1.5051e-07,4.108832e-06
"dlpfc","Inhib.1","PGC2.SCZ",0.080604,0.083718,0.151404893617021
"dlpfc","Inhib.2","PGC2.SCZ",0.0080395,0.43911,0.513049484536082
"dlpfc","Inhib.3","PGC2.SCZ",0.17594,4.303e-06,7.70010526315789e-05
"dlpfc","Inhib.4","PGC2.SCZ",0.09242,5.8826e-06,9.75650731707317e-05
"dlpfc","Inhib.5","PGC2.SCZ",0.14102,4.7983e-09,2.50988e-07
"dlpfc","Inhib.6","PGC2.SCZ",0.14381,1.3281e-11,2.54541e-09
"dlpfc","Micro","PGC2.SCZ",0.0077375,0.37317,0.452327272727273
"dlpfc","OPC","PGC2.SCZ",0.10132,4.6579e-05,0.000563195087719298
"dlpfc","Oligo","PGC2.SCZ",0.10967,1.8857e-05,0.000267849166666667
"sacc","Astro.1","PGC2.SCZ",0.021584,0.1784,0.255932489451477
"sacc","Excit.1","PGC2.SCZ",0.093073,1.927e-09,1.19123636363636e-07
"sacc","Excit.2","PGC2.SCZ",0.089784,1.7506e-08,6.61337777777778e-07
"sacc","Excit.3","PGC2.SCZ",0.058661,0.0014567,0.00839454237288136
"sacc","Excit.4","PGC2.SCZ",0.063441,0.0022181,0.0113406616541353
"sacc","Inhib.1.1","PGC2.SCZ",0.094684,8.6678e-09,3.92940266666667e-07
"sacc","Inhib.2.1","PGC2.SCZ",0.12299,2.3449e-12,7.97266e-10
"sacc","Micro.1","PGC2.SCZ",0.01045,0.32407,0.401398178506375
"sacc","OPC.1","PGC2.SCZ",0.082998,0.00044731,0.00337967555555556
"sacc","Oligo.1","PGC2.SCZ",0.11333,7.6541e-06,0.000118290636363636
"hpc","Astro.2","PGC2.SCZ",0.015946,0.20315,0.281348268839104
"hpc","Excit.1.1","PGC2.SCZ",0.12097,3.2333e-08,1.099322e-06
"hpc","Excit.2.1","PGC2.SCZ",0.077615,0.00011477,0.00113106666666667
"hpc","Excit.3.1","PGC2.SCZ",0.083294,6.9085e-07,1.56592666666667e-05
"hpc","Excit.4.1","PGC2.SCZ",0.10569,1.8907e-05,0.000267849166666667
"hpc","Excit.5","PGC2.SCZ",0.15592,7.3279e-07,1.60741032258065e-05
"hpc","Inhib.1.2","PGC2.SCZ",0.15236,2.5234e-07,6.35522962962963e-06
"hpc","Inhib.2.2","PGC2.SCZ",0.13573,7.4835e-09,3.63484285714286e-07
"hpc","Inhib.3.1","PGC2.SCZ",0.12412,7.5534e-10,5.70701333333333e-08
"hpc","Inhib.4.1","PGC2.SCZ",0.18092,1.4973e-11,2.54541e-09
"hpc","Inhib.5.1","PGC2.SCZ",0.16823,3.1255e-10,2.988345e-08
"hpc","Micro.2","PGC2.SCZ",0.026502,0.091051,0.160817350649351
