Set	Gene
Astro	ENSG00000234377
Astro	ENSG00000164199
Astro	ENSG00000106571
Astro	ENSG00000164188
Astro	ENSG00000142611
Astro	ENSG00000018625
Astro	ENSG00000171885
Astro	ENSG00000111783
Astro	ENSG00000135540
Astro	ENSG00000138696
Astro	ENSG00000236197
Astro	ENSG00000068078
Astro	ENSG00000080573
Astro	ENSG00000135063
Astro	ENSG00000140022
Astro	ENSG00000139155
Astro	ENSG00000149090
Astro	ENSG00000147509
Astro	ENSG00000110436
Astro	ENSG00000164089
Astro	ENSG00000114790
Astro	ENSG00000179399
Astro	ENSG00000262655
Astro	ENSG00000182902
Astro	ENSG00000100767
Astro	ENSG00000124440
Astro	ENSG00000080493
Astro	ENSG00000158966
Astro	ENSG00000115380
Astro	ENSG00000197360
Astro	ENSG00000198838
Astro	ENSG00000137693
Astro	ENSG00000131095
Astro	ENSG00000161509
Astro	ENSG00000107249
Astro	ENSG00000064655
Astro	ENSG00000151012
Astro	ENSG00000092820
Astro	ENSG00000111058
Astro	ENSG00000152661
Astro	ENSG00000236790
Astro	ENSG00000172201
Astro	ENSG00000231252
Astro	ENSG00000183579
Astro	ENSG00000229847
Astro	ENSG00000101680
Astro	ENSG00000165092
Astro	ENSG00000072952
Astro	ENSG00000104313
Astro	ENSG00000162390
Astro	ENSG00000144908
Astro	ENSG00000141469
Astro	ENSG00000152990
Astro	ENSG00000130203
Astro	ENSG00000172987
Astro	ENSG00000226476
Astro	ENSG00000185942
Astro	ENSG00000251372
Astro	ENSG00000188039
Astro	ENSG00000125462
Astro	ENSG00000154217
Astro	ENSG00000111907
Astro	ENSG00000148482
Astro	ENSG00000130413
Astro	ENSG00000136297
Astro	ENSG00000117525
Astro	ENSG00000138771
Astro	ENSG00000146005
Astro	ENSG00000114698
Astro	ENSG00000156049
Astro	ENSG00000101439
Astro	ENSG00000182175
Astro	ENSG00000120885
Astro	ENSG00000007372
Astro	ENSG00000127249
Astro	ENSG00000148660
Astro	ENSG00000166839
Astro	ENSG00000168309
Astro	ENSG00000136002
Astro	ENSG00000125148
Astro	ENSG00000004468
Astro	ENSG00000126785
Astro	ENSG00000130287
Astro	ENSG00000087250
Astro	ENSG00000285082
Astro	ENSG00000148498
Astro	ENSG00000251165
Astro	ENSG00000103740
Astro	ENSG00000056487
Astro	ENSG00000153944
Astro	ENSG00000144040
Astro	ENSG00000271904
Astro	ENSG00000115738
Astro	ENSG00000132321
Astro	ENSG00000152284
Astro	ENSG00000113721
Astro	ENSG00000165730
Astro	ENSG00000178075
Astro	ENSG00000143603
Astro	ENSG00000165449
Astro	ENSG00000163453
Astro	ENSG00000101400
Astro	ENSG00000129244
Astro	ENSG00000179604
Astro	ENSG00000152583
Astro	ENSG00000186998
Astro	ENSG00000138685
Astro	ENSG00000154930
Astro	ENSG00000150625
Astro	ENSG00000079215
Astro	ENSG00000099204
Astro	ENSG00000108231
Astro	ENSG00000121310
Astro	ENSG00000144749
Astro	ENSG00000248429
Astro	ENSG00000109472
Astro	ENSG00000119900
Astro	ENSG00000079691
Astro	ENSG00000113645
Astro	ENSG00000148672
Astro	ENSG00000079335
Astro	ENSG00000078114
Astro	ENSG00000102935
Astro	ENSG00000180263
Astro	ENSG00000128536
Astro	ENSG00000253944
Astro	ENSG00000198520
Astro	ENSG00000168710
Astro	ENSG00000134769
Astro	ENSG00000116641
Astro	ENSG00000116117
Astro	ENSG00000083067
Astro	ENSG00000170390
Astro	ENSG00000046889
Astro	ENSG00000095637
