Set	Gene
Astro_A	ENSG00000234377
Astro_A	ENSG00000106571
Astro_A	ENSG00000164199
Astro_A	ENSG00000149090
Astro_A	ENSG00000164188
Astro_A	ENSG00000110436
Astro_A	ENSG00000138696
Astro_A	ENSG00000236197
Astro_A	ENSG00000179399
Astro_A	ENSG00000080493
Astro_A	ENSG00000080573
Astro_A	ENSG00000164089
Astro_A	ENSG00000152583
Astro_A	ENSG00000139155
Astro_A	ENSG00000068078
Astro_A	ENSG00000198838
Astro_A	ENSG00000138771
Astro_A	ENSG00000236790
Astro_A	ENSG00000198963
Astro_A	ENSG00000182050
Astro_A	ENSG00000142611
Astro_A	ENSG00000179796
Astro_A	ENSG00000171885
Astro_A	ENSG00000018625
Astro_A	ENSG00000135540
Astro_A	ENSG00000183579
Astro_A	ENSG00000158966
Astro_A	ENSG00000147509
Astro_A	ENSG00000144040
Astro_A	ENSG00000114790
Astro_A	ENSG00000108231
Astro_A	ENSG00000124440
Astro_A	ENSG00000135063
Astro_A	ENSG00000109472
Astro_A	ENSG00000079691
Astro_A	ENSG00000130287
Astro_A	ENSG00000111783
Astro_A	ENSG00000107249
Astro_A	ENSG00000132321
Astro_A	ENSG00000099204
Astro_A	ENSG00000182902
Astro_A	ENSG00000140022
Astro_A	ENSG00000156049
Astro_A	ENSG00000072952
Astro_A	ENSG00000271904
Astro_A	ENSG00000161509
Astro_A	ENSG00000101680
Astro_A	ENSG00000115380
Astro_A	ENSG00000154217
Astro_A	ENSG00000165730
Astro_A	ENSG00000229847
Astro_A	ENSG00000111907
Astro_A	ENSG00000151834
Astro_A	ENSG00000129244
Astro_A	ENSG00000185532
Astro_A	ENSG00000251372
Astro_A	ENSG00000008394
Astro_A	ENSG00000152661
Astro_A	ENSG00000152990
Astro_A	ENSG00000162390
Astro_A	ENSG00000185942
Astro_A	ENSG00000117525
Astro_A	ENSG00000144908
Astro_A	ENSG00000150625
Astro_A	ENSG00000141639
Astro_A	ENSG00000178075
Astro_A	ENSG00000155816
Astro_A	ENSG00000104313
Astro_A	ENSG00000143603
Astro_A	ENSG00000111058
Astro_A	ENSG00000226476
Astro_A	ENSG00000136297
Astro_A	ENSG00000100767
Astro_A	ENSG00000126785
Astro_A	ENSG00000137693
Astro_A	ENSG00000165092
Astro_A	ENSG00000151012
Astro_A	ENSG00000163288
Astro_A	ENSG00000083067
Astro_A	ENSG00000166839
Astro_A	ENSG00000113645
Astro_A	ENSG00000125462
Astro_A	ENSG00000172201
Astro_A	ENSG00000078114
Astro_A	ENSG00000156076
Astro_A	ENSG00000146005
Astro_A	ENSG00000153904
Astro_A	ENSG00000165323
Astro_A	ENSG00000154928
Astro_A	ENSG00000078295
Astro_A	ENSG00000095637
Astro_A	ENSG00000182175
Astro_A	ENSG00000148660
Astro_A	ENSG00000175497
Astro_A	ENSG00000231252
Astro_A	ENSG00000251165
Astro_A	ENSG00000111879
Astro_A	ENSG00000136160
Astro_A	ENSG00000114698
Astro_A	ENSG00000124145
Astro_A	ENSG00000048540
Astro_A	ENSG00000253642
Astro_A	ENSG00000127249
Astro_A	ENSG00000067177
Astro_A	ENSG00000148482
Astro_A	ENSG00000141469
Astro_A	ENSG00000148672
Astro_A	ENSG00000145832
Astro_A	ENSG00000007372
Astro_A	ENSG00000101400
Astro_A	ENSG00000121440
Astro_A	ENSG00000163285
Astro_A	ENSG00000204681
Astro_A	ENSG00000120885
Astro_A	ENSG00000115902
Astro_A	ENSG00000128536
Astro_A	ENSG00000169439
Astro_A	ENSG00000056487
Astro_A	ENSG00000130413
Astro_A	ENSG00000100427
Astro_A	ENSG00000129151
Astro_A	ENSG00000137561
Astro_A	ENSG00000092820
Astro_A	ENSG00000113721
Astro_A	ENSG00000116641
Astro_A	ENSG00000196781
Astro_A	ENSG00000134532
Astro_A	ENSG00000148053
Astro_A	ENSG00000134769
Astro_A	ENSG00000136002
Astro_A	ENSG00000262655
Astro_A	ENSG00000170390
Astro_A	ENSG00000118997
Astro_A	ENSG00000066032
Astro_A	ENSG00000101439
Astro_A	ENSG00000087250
Astro_A	ENSG00000180263
Astro_A	ENSG00000153944
Astro_A	ENSG00000114805
Astro_A	ENSG00000185737
Astro_A	ENSG00000069667
Astro_A	ENSG00000171408
Astro_A	ENSG00000064655
Astro_A	ENSG00000197977
Astro_A	ENSG00000004468
Astro_A	ENSG00000100234
Astro_A	ENSG00000137033
Astro_A	ENSG00000138685
Astro_A	ENSG00000125148
Astro_A	ENSG00000188039
Astro_A	ENSG00000130203
Astro_A	ENSG00000237187
Astro_A	ENSG00000134873
Astro_A	ENSG00000172164
Astro_A	ENSG00000174776
Astro_A	ENSG00000069431
Astro_A	ENSG00000144893
Astro_A	ENSG00000248429
Astro_A	ENSG00000152284
Astro_A	ENSG00000046889
Astro_A	ENSG00000154930
Astro_A	ENSG00000135744
Astro_A	ENSG00000079215
Astro_A	ENSG00000148498
Astro_A	ENSG00000197077
Astro_A	ENSG00000092969
Astro_A	ENSG00000069020
Astro_A	ENSG00000173208
Astro_A	ENSG00000172572
Astro_A	ENSG00000170324
Astro_A	ENSG00000237764
Astro_A	ENSG00000228222
Astro_A	ENSG00000271447
Astro_A	ENSG00000253944
Astro_A	ENSG00000128849
Astro_A	ENSG00000121310
Astro_A	ENSG00000260372
Astro_A	ENSG00000134508
Astro_A	ENSG00000154310
Astro_A	ENSG00000111666
Astro_A	ENSG00000137261
Astro_A	ENSG00000233067
Astro_A	ENSG00000153930
Astro_A	ENSG00000181938
Astro_A	ENSG00000152767
Astro_A	ENSG00000146648
Astro_A	ENSG00000144857
Astro_A	ENSG00000225472
Astro_A	ENSG00000129116
Astro_A	ENSG00000245526
Astro_A	ENSG00000087903
Astro_A	ENSG00000079482
Astro_A	ENSG00000184232
Astro_A	ENSG00000147408
Astro_A	ENSG00000168309
Astro_A	ENSG00000067057
Astro_A	ENSG00000115738
Astro_A	ENSG00000179915
Astro_A	ENSG00000239268
Astro_A	ENSG00000099139
Astro_A	ENSG00000172461
Astro_A	ENSG00000198363
Astro_A	ENSG00000102935
Astro_A	ENSG00000134324
Astro_A	ENSG00000135919
Astro_A	ENSG00000171798
Astro_A	ENSG00000134215
Astro_A	ENSG00000105088
Astro_A	ENSG00000168077
Astro_A	ENSG00000134982
Astro_A	ENSG00000169862
Astro_A	ENSG00000147027
Astro_A	ENSG00000185818
Astro_A	ENSG00000147324
Astro_A	ENSG00000071242
Astro_A	ENSG00000172403
Astro_A	ENSG00000135424
Astro_A	ENSG00000168710
Astro_A	ENSG00000163430
Astro_A	ENSG00000154188
Astro_A	ENSG00000145934
Astro_A	ENSG00000215386
Astro_A	ENSG00000163453
Astro_A	ENSG00000109339
Astro_A	ENSG00000153902
Astro_A	ENSG00000204128
Astro_A	ENSG00000079335
Astro_A	ENSG00000144749
Astro_A	ENSG00000196730
Astro_A	ENSG00000185070
Astro_A	ENSG00000249776
Astro_A	ENSG00000132613
Astro_A	ENSG00000091409
Astro_A	ENSG00000270898
Astro_A	ENSG00000091129
Astro_A	ENSG00000119927
Astro_A	ENSG00000166165
Astro_A	ENSG00000101134
Astro_A	ENSG00000175170
Astro_A	ENSG00000175745
Astro_A	ENSG00000134250
Astro_A	ENSG00000197442
Astro_A	ENSG00000169604
Astro_A	ENSG00000162437
Astro_A	ENSG00000125398
Astro_A	ENSG00000163406
Astro_A	ENSG00000165995
Astro_A	ENSG00000152952
Astro_A	ENSG00000099864
Astro_A	ENSG00000106278
Astro_A	ENSG00000131095
Astro_A	ENSG00000164929
Astro_A	ENSG00000167614
Astro_A	ENSG00000137285
Astro_A	ENSG00000170485
Astro_A	ENSG00000165449
Astro_A	ENSG00000214402
Astro_A	ENSG00000184349
Astro_A	ENSG00000140470
Astro_A	ENSG00000155324
